"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGLU3","Magazine Luiza","104.966.200","1,36","-6,21%"
"B3SA3","B3","84.850.200","10,79","-3,14%"
"MULT3","Multiplan","69.483.300","22,89","-4,19%"
"BBDC4","Banco Bradesco","60.459.200","14,00","-0,43%"
"ITUB4","Itaú Unibanco","46.905.100","31,34","-1,88%"
"COGN3","Cogna","37.111.600","2,17","-3,56%"
"PETR4","Petrobras","36.635.400","42,02","-0,31%"
"OIBR3","Oi","31.783.600","0,73","+7,35%"
"HAPV3","Hapvida","30.470.100","3,69","-3,40%"
"ITSA4","Itaúsa","27.496.100","9,56","-1,04%"
"ABEV3","Ambev","25.146.600","12,15","+0,41%"
"PCAR3","Grupo Pão de Açúcar","21.092.500","2,93","-2,66%"
"SOMA3","Grupo Soma","19.741.800","6,07","-0,16%"
"BHIA3","Casas Bahia","19.507.200","6,85","-6,16%"
"CIEL3","Cielo","18.926.700","5,57","-0,36%"
"CMIG4","CEMIG","16.917.000","9,77","-21,53%"
"RAIL3","Rumo","16.254.700","20,16","-3,22%"
"AMER3","Americanas","15.965.000","0,56","+1,82%"
"CVCB3","CVC","15.642.400","2,01","-3,37%"
"VALE3","Vale","15.597.400","63,29","-0,95%"
"LREN3","Lojas Renner","14.859.500","15,33","-2,29%"
"CPLE6","Copel","14.514.300","9,09","-0,87%"
"USIM5","Usiminas","13.772.900","7,91","-3,65%"
"ASAI3","Assaí","13.748.300","13,12","-3,46%"
"AZUL4","Azul","12.679.600","9,75","-2,79%"
"PETR3","Petrobras","12.671.400","44,26","-0,63%"
"BBAS3","Banco do Brasil","12.200.200","27,42","-0,47%"
"ALOS3","ALOS3","12.147.400","20,88","-2,88%"
"PETZ3","Petz","12.032.900","4,71","-2,48%"
"HBSA3","Hidrovias do Brasil","11.467.500","4,39","+0,46%"
"PRIO3","PetroRio","10.770.900","48,00","-3,15%"
"MRVE3","MRV","9.881.300","6,70","-2,62%"
"POMO4","Marcopolo","9.539.200","6,59","-5,45%"
"CPLE3","Copel","9.505.700","8,20","-1,91%"
"LWSA3","Locaweb","9.486.900","4,60","-3,16%"
"ELET3","Eletrobras","9.286.500","37,86","+0,61%"
"CMIN3","CSN Mineração","9.080.500","4,94","-1,20%"
"CCRO3","Grupo CCR","8.407.700","12,33","-1,20%"
"VAMO3","Grupo Vamos","8.369.300","7,11","-4,56%"
"GGBR4","Gerdau","8.079.400","18,26","-1,83%"
"GOAU4","Metalúrgica Gerdau","8.005.500","10,58","-0,75%"
"RAPT4","Randon","7.755.400","10,69","-3,69%"
"GOLL4","GOL","7.585.100","1,32","+0,76%"
"RAIZ4","Raízen","7.484.800","3,06","-0,33%"
"SUZB3","Suzano","7.417.800","58,46","-0,75%"
"RENT3","Localiza","7.184.700","49,03","-3,01%"
"RPAD6","Alfa Holdings","7.101.300","9,56","+12,74%"
"WEGE3","WEG","6.934.600","39,55","+0,48%"
"CRFB3","Carrefour Brasil","6.831.300","11,17","-3,87%"
"ONCO3","Oncoclínicas","6.733.900","7,36","+0,00%"
"RRRP3","3R Petroleum","6.661.700","33,17","-3,83%"
"BRAP4","Bradespar","6.651.500","19,93","-7,13%"
"RADL3","RaiaDrogasil","6.632.100","25,58","-0,58%"
