Empresa;Resultado;4T2023;3T2023;2T2023;1T2023;4T2022;3T2022;2T2022;1T2022;4T2021;3T2021;2T2021;1T2021;4T2020;3T2020;2T2020;1T2020;4T2019;3T2019;2T2019;1T2019
PETR4;Receita Líquida - (R$);134.258.000.000;124.828.000.000;113.840.000.000;139.068.000.000;158.579.000.000;170.076.000.000;170.960.000.000;141.641.000.000;134.190.000.000;121.594.000.000;110.710.000.000;86.174.000.000;74.972.000.000;70.730.000.000;50.898.000.000;75.470.000.000;72.627.978.000;77.051.002.000;72.566.996.000;79.999.000.000
PETR4;Lucro Líquido - (R$);31.163.000.000;26.760.000.000;28.936.000.000;38.307.000.000;43.502.000.000;46.236.000.000;54.484.000.000;44.783.000.000;31.723.000.000;31.224.000.000;43.041.000.000;1.276.000.000;60.452.000.000;-1.669.000.000;-2.813.000.000;-49.720.000.000;8.538.000.000;8.840.000.000;19.352.000.000;4.240.000.000
PETR4;EBIT - (R$);39.628.000.000;47.546.000.000;41.971.000.000;60.197.000.000;57.811.000.000;74.612.000.000;96.434.000.000;65.398.000.000;58.289.000.000;66.457.000.000;52.181.000.000;33.904.000.000;68.009.000.000;18.032.000.000;9.020.000.000;-45.440.000.000;14.135.000.000;14.300.000.000;39.240.000.000;14.520.000.000
PETR4;Dívida Líquida - (R$);227.799.000.000;238.304.000.000;218.390.000.000;204.125.000.000;224.510.000.000;256.715.000.000;180.367.000.000;189.848.000.000;265.778.000.000;261.814.000.000;266.429.000.000;332.856.000.000;328.268.000.000;373.509.000.000;390.005.000.000;380.190.000.000;-32.938.840.000;314.070.000.000;320.650.000.000;372.230.000.000
PETR4;ROE - (%);8,16 %;6,90 %;7,76 %;9,49 %;11,89 %;12,37 %;13,23 %;10,26 %;8,13 %;8,44 %;12,04 %;0,37 %;19,42 %;-0,62 %;-1,12 %;-20,93 %;2,76 %;2,97 %;6,21 %;1,43 %
MGLU3;Receita Líquida - (R$);10.549.741.000;8.578.818.000;8.572.256.000;9.067.334.000;11.167.420.000;8.807.020.000;8.562.390.000;8.762.180.000;9.400.000.000;8.612.030.000;9.013.310.000;8.252.810.000;10.065.790.000;8.308.330.000;5.568.250.000;5.234.750.000;6.385.025.000;4.864.198.000;4.308.102.000;4.328.984.000
MGLU3;Lucro Líquido - (R$);212.193.000;-498.330.000;-301.746.000;-391.221.000;-35.910.000;-166.760.000;-135.000.000;-161.300.000;92.970.000;143.520.000;95.540.000;258.640.000;219.490.000;205.960.000;-64.540.000;30.800.000;168.000.000;235.100.000;387.000.000;134.000.000
MGLU3;EBIT - (R$);243.166.000;661.189.000;-35.923.000;16.328.000;287.800.000;222.740.000;186.650.000;74.450.000;-234.020.000;-73.050.000;260.410.000;517.260.000;318.430.000;376.880.000;-28.510.000;157.780.000;376.760.000;337.280.000;283.080.000;291.430.000
MGLU3;Dívida Líquida - (R$);3.982.437.000;4.118.464.000;4.744.924.000;5.038.335.000;4.384.417.000;-;4.924.555.000;4.919.890.000;2.670.280.000;-2.105.410.000;575.080.000;284.520.000;-1.216.395.000;-1.240.438.000;-1.317.540.000;-1.766.320.000;-3.905.910.000;685.570.000;96.860.000;-59.960.000
MGLU3;ROE - (%);2,21 %;-5,23 %;-3,01 %;-3,80 %;-0,34 %;-1,54 %;-1,23 %;-1,45 %;0,83 %;1,32 %;1,31 %;3,56 %;3,00 %;2,79 %;-0,87 %;0,41 %;2,22 %;7,36 %;12,44 %;5,51 %
OIBR3;Receita Líquida - (R$);2.305.961.000;2.421.776.000;2.454.171.000;2.535.792.000;2.649.000.000;2.770.060.000;2.579.520.000;2.486.940.000;3.766.590.000;2.243.790.000;2.234.760.000;2.238.340.000;-4.714.020.000;4.706.050.000;4.543.750.000;4.748.520.000;4.913.570.000;5.001.231.000;5.091.344.000;5.130.036.000
OIBR3;Lucro Líquido - (R$);-485.653.000;-2.830.492.000;-844.524.000;-1.267.087.000;-17.663.000.000;-3.062.460.000;-320.660.000;1.783.950.000;-1.312.200.000;-4.811.480.000;1.093.880.000;-3.508.050.000;1.798.230.000;-2.579.540.000;-3.493.400.000;-6.253.790.000;-2.262.902.000;-5.783.510.000;-1.709.250.000;678.760.000
OIBR3;EBIT - (R$);-632.670.000;-803.758.000;-266.082.000;-102.677.000;-16.291.692.000;-992.420.000;-611.400.000;-369.370.000;-1.382.260.000;-620.730.000;-177.400.000;143.250.000;-1.378.220.000;-254.940.000;-366.200.000;188.140.000;-405.110.000;-3.198.920.000;-298.280.000;924.950.000
OIBR3;Dívida Líquida - (R$);23.302.328.000;22.719.925.000;21.232.781.000;20.956.798.000;19.089.491.000;18.365.367.000;16.167.680.000;28.541.960.000;29.877.300.000;28.127.820.000;24.930.850.000;25.263.650.000;22.042.070.000;21.274.860.000;20.075.170.000;18.165.140.000;14.604.205.000;14.748.160.000;12.616.430.000;10.155.880.000
OIBR3;ROE - (%);-1,79 %;-10,55 %;-3,53 %;-5,47 %;-80,96 %;-134,16 %;-41,52 %;172,14 %;-177,13 %;-457,51 %;18,66 %;-74,13 %;23,19 %;-44,10 %;-42,22 %;-54,97 %;-12,82 %;-28,85 %;-6,08 %;2,09 %
B3SA3;Receita Líquida - (R$);2.493.567.000;2.490.082.000;2.477.122.000;2.460.480.000;3.073.780.000;2.510.000.000;2.241.630.000;2.284.700.000;2.960.500.000;2.513.220.000;2.417.690.000;2.396.700.000;2.978.400.000;2.535.470.000;1.908.330.000;1.905.200.000;2.070.593.000;1.706.592.000;1.421.079.000;1.378.242.000
B3SA3;Lucro Líquido - (R$);915.805.000;1.074.307.000;1.052.942.000;1.089.458.000;1.003.982.000;1.030.000.000;1.092.280.000;1.101.040.000;1.091.650.000;1.176.100.000;1.193.310.000;1.256.030.000;1.097.340.000;1.136.500.000;891.760.000;1.025.120.000;732.930.000;719.610.000;654.769.000;606.198.000
