"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","10,20","9,17","10,94","8,40","47,60K","11,23%"
"01.03.2024","9,17","8,53","9,17","6,15","302,00K","7,88%"
"01.02.2024","8,50","8,32","9,17","8,02","1,22M","0,59%"
"01.01.2024","8,45","10,20","10,36","8,06","2,58M","-18,75%"
"01.12.2023","10,40","11,45","12,35","10,08","3,10M","-8,77%"
"01.11.2023","11,40","9,76","11,65","9,44","1,21M","16,92%"
"01.10.2023","9,75","9,85","10,57","8,45","2,99M","-0,20%"
"01.09.2023","9,77","8,09","9,77","7,16","4,93M","21,97%"
"01.08.2023","8,01","24,16","24,32","8,01","10,54M","-66,83%"
"01.07.2023","24,15","23,82","24,23","23,69","8,24M","1,47%"
"01.06.2023","23,80","23,30","23,82","22,78","5,98M","3,52%"
"01.05.2023","22,99","22,83","23,26","22,42","5,55M","0,61%"
"01.04.2023","22,85","22,50","22,94","22,18","4,49M","1,42%"
"01.03.2023","22,53","20,85","22,70","20,40","9,19M","8,58%"
"01.02.2023","20,75","21,35","22,69","20,12","10,91M","-2,99%"
"01.01.2023","21,39","21,41","21,85","20,55","9,33M","-0,97%"
"01.12.2022","21,60","20,13","21,71","19,14","13,37M","6,93%"
"01.11.2022","20,20","21,25","21,35","20,05","6,54M","-4,67%"
"01.10.2022","21,19","21,12","21,35","20,18","5,64M","1,00%"
"01.09.2022","20,98","20,10","21,32","19,47","8,50M","4,38%"
"01.08.2022","20,10","20,56","20,65","19,62","6,01M","-2,38%"
"01.07.2022","20,59","19,43","20,68","19,19","6,64M","5,54%"
"01.06.2022","19,51","19,99","20,21","18,77","8,08M","-2,50%"
"01.05.2022","20,01","19,43","20,46","19,10","10,01M","3,09%"
