"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,15","12,52","12,68","11,83","16,17M","-2,72%"
"01.03.2024","12,49","12,46","12,97","12,17","48,32M","-0,72%"
"01.02.2024","12,58","13,07","13,59","12,40","490,25M","-3,82%"
"01.01.2024","13,08","13,72","13,83","13,03","369,63M","-4,73%"
"01.12.2023","13,73","13,01","14,13","12,92","460,19M","0,29%"
"01.11.2023","13,69","12,90","13,80","12,76","507,75M","6,45%"
"01.10.2023","12,86","13,11","13,36","12,28","517,26M","-1,91%"
"01.09.2023","13,11","13,85","14,21","12,86","512,36M","-5,27%"
"01.08.2023","13,84","14,81","15,45","13,67","607,86M","-6,86%"
"01.07.2023","14,86","15,50","15,78","14,47","508,92M","-3,57%"
"01.06.2023","15,41","14,35","15,60","14,21","465,00M","6,94%"
"01.05.2023","14,41","14,06","15,31","13,96","494,72M","1,77%"
"01.04.2023","14,16","14,23","14,93","13,98","468,40M","-1,19%"
"01.03.2023","14,33","13,42","15,05","12,99","795,94M","7,02%"
"01.02.2023","13,39","13,64","13,73","12,60","645,64M","-1,98%"
"01.01.2023","13,66","14,40","14,79","13,18","805,19M","-5,92%"
"01.12.2022","14,52","15,12","15,72","13,98","665,97M","-3,99%"
"01.11.2022","15,12","15,23","16,04","14,25","577,69M","-0,50%"
"01.10.2022","15,20","15,01","15,67","13,87","581,43M","2,96%"
"01.09.2022","14,76","14,59","15,09","14,33","556,68M","1,77%"
"01.08.2022","14,51","14,12","15,41","13,68","448,37M","2,28%"
"01.07.2022","14,18","12,68","15,01","12,63","611,20M","11,42%"
"01.06.2022","12,73","13,43","13,60","12,17","438,32M","-5,57%"
"01.05.2022","13,48","13,85","14,14","12,70","473,81M","-2,27%"
