"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","0,56","0,56","0,68","0,55","49,07M","0,00%"
"01.03.2024","0,56","0,67","0,69","0,55","50,59M","-16,42%"
"01.02.2024","0,67","0,79","0,80","0,62","88,32M","-14,10%"
"01.01.2024","0,78","0,91","1,02","0,77","124,88M","-13,33%"
"01.12.2023","0,90","0,87","1,02","0,82","130,45M","3,45%"
"01.11.2023","0,87","0,85","0,99","0,80","95,77M","2,35%"
"01.10.2023","0,85","0,84","0,89","0,76","85,16M","2,41%"
"01.09.2023","0,83","0,96","1,07","0,81","157,15M","-12,63%"
"01.08.2023","0,95","1,20","1,26","0,95","124,18M","-20,83%"
"01.07.2023","1,20","1,35","1,41","1,17","105,48M","-9,77%"
"01.06.2023","1,33","1,50","1,62","1,20","141,13M","-10,74%"
"01.05.2023","1,49","1,57","1,69","1,41","101,51M","-5,10%"
"01.04.2023","1,57","1,19","1,59","1,15","79,69M","33,05%"
"01.03.2023","1,18","1,35","1,45","1,11","122,43M","-11,28%"
"01.02.2023","1,33","1,60","1,73","1,10","141,84M","-16,35%"
"01.01.2023","1,59","1,12","1,65","0,98","176,78M","40,71%"
"01.12.2022","1,13","1,44","1,44","0,88","193,71M","-21,53%"
"01.11.2022","1,44","1,87","2,07","1,40","131,21M","-22,16%"
"01.10.2022","1,85","2,08","2,22","1,67","79,76M","-7,96%"
"01.09.2022","2,01","2,32","2,63","1,94","86,10M","-13,36%"
"01.08.2022","2,32","2,98","3,57","2,28","90,56M","-22,67%"
"01.07.2022","3,00","2,76","3,12","2,25","64,52M","7,14%"
"01.06.2022","2,80","3,57","3,64","2,71","39,86M","-21,35%"
"01.05.2022","3,56","4,89","4,89","3,54","54,22M","-27,05%"
