"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","25,66","24,64","26,63","24,40","137,90K","4,48%"
"01.03.2024","24,56","23,88","25,01","23,32","160,00K","3,54%"
"01.02.2024","23,72","24,69","24,87","23,18","7,78M","-3,81%"
"01.01.2024","24,66","26,58","26,62","24,35","5,61M","-7,68%"
"01.12.2023","26,71","24,10","26,71","24,00","8,45M","10,83%"
"01.11.2023","24,10","24,72","25,88","23,83","10,49M","-2,59%"
"01.10.2023","24,74","25,68","26,99","23,82","16,20M","-13,86%"
"01.09.2023","28,72","23,78","29,60","23,78","15,94M","20,72%"
"01.08.2023","23,79","25,98","26,87","23,00","10,30M","-8,18%"
"01.07.2023","25,91","24,57","26,69","24,57","9,99M","5,71%"
"01.06.2023","24,51","23,06","25,75","22,36","12,64M","7,69%"
"01.05.2023","22,76","24,19","24,43","22,29","8,34M","-5,79%"
"01.04.2023","24,16","24,06","25,74","22,92","7,86M","0,25%"
"01.03.2023","24,10","26,01","27,12","23,60","11,33M","-7,09%"
"01.02.2023","25,94","30,20","30,20","25,86","8,09M","-12,95%"
"01.01.2023","29,80","29,96","30,63","27,06","7,32M","-0,53%"
"01.12.2022","29,96","27,07","30,00","25,49","10,67M","10,64%"
"01.11.2022","27,08","30,15","31,93","25,20","13,32M","-9,91%"
"01.10.2022","30,06","27,42","30,10","27,25","9,72M","10,59%"
"01.09.2022","27,18","25,83","28,08","25,13","12,12M","5,45%"
"01.08.2022","25,78","21,58","26,77","21,09","13,73M","19,38%"
"01.07.2022","21,59","21,94","22,31","19,96","11,64M","-1,60%"
"01.06.2022","21,94","29,12","29,60","21,94","12,53M","-23,96%"
"01.05.2022","28,85","30,86","31,53","27,17","16,04M","-5,68%"
