"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,70","2,25","2,66","1,67","10,28M","-20,93%"
"01.03.2024","2,15","1,73","2,69","1,65","6,60M","25,00%"
"01.02.2024","1,72","2,83","2,90","1,65","5,24M","-39,22%"
"01.01.2024","2,83","3,64","3,64","2,78","3,11M","-22,04%"
"01.12.2023","3,63","4,02","4,14","3,42","2,53M","-9,25%"
"01.11.2023","4,00","3,77","4,32","3,74","1,26M","6,38%"
"01.10.2023","3,76","4,28","4,48","3,67","1,25M","-12,56%"
"01.09.2023","4,30","5,05","5,10","3,99","1,20M","-14,00%"
"01.08.2023","5,00","5,49","5,49","4,60","1,49M","-8,26%"
"01.07.2023","5,45","6,11","6,50","5,19","1,89M","-10,66%"
"01.06.2023","6,10","6,08","6,29","5,69","1,71M","1,67%"
"01.05.2023","6,00","6,97","7,23","5,91","1,94M","-13,67%"
"01.04.2023","6,95","8,00","8,02","6,85","476,80K","-13,23%"
"01.03.2023","8,01","8,84","9,45","7,80","941,00K","-9,39%"
"01.02.2023","8,84","9,48","9,60","8,40","1,00M","-6,75%"
"01.01.2023","9,48","9,85","9,97","8,95","1,38M","-3,85%"
"01.12.2022","9,86","8,80","9,86","7,66","2,14M","10,79%"
"01.11.2022","8,90","7,64","9,13","6,81","1,31M","18,35%"
"01.10.2022","7,52","7,69","8,26","7,30","1,35M","-1,05%"
"01.09.2022","7,60","7,98","7,98","6,71","1,69M","-5,82%"
"01.08.2022","8,07","7,33","9,07","7,10","3,21M","11,93%"
"01.07.2022","7,21","7,57","8,22","6,46","1,84M","-5,13%"
"01.06.2022","7,60","10,39","10,50","6,88","1,54M","-26,21%"
"01.05.2022","10,30","9,72","10,90","8,25","1,52M","6,93%"
