"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","20,88","23,92","24,54","20,42","9,63M","-12,71%"
"01.03.2024","23,92","24,69","24,99","23,79","3,24M","-3,12%"
"01.02.2024","24,69","24,55","25,03","23,10","72,23M","0,57%"
"01.01.2024","24,55","26,51","26,51","23,58","98,69M","-7,53%"
"01.12.2023","26,55","25,65","27,15","24,75","77,22M","3,79%"
"01.11.2023","25,58","22,81","25,87","22,71","94,17M","11,70%"
"01.10.2023","22,90","22,49","24,13","21,36","106,88M","1,37%"
"01.09.2023","22,59","22,96","24,38","21,65","87,23M","-0,79%"
"01.08.2023","22,77","24,22","25,70","22,67","106,71M","-6,33%"
"01.07.2023","24,31","24,90","25,82","23,57","96,81M","-1,38%"
"01.06.2023","24,65","22,03","25,38","21,82","119,60M","13,75%"
"01.05.2023","21,67","18,03","22,15","17,84","111,20M","19,59%"
"01.04.2023","18,12","17,19","18,46","16,55","84,77M","5,90%"
"01.03.2023","17,11","16,58","18,03","15,23","100,57M","3,07%"
"01.02.2023","16,60","17,46","18,06","16,50","60,19M","-5,20%"
"01.01.2023","17,51","16,32","17,87","14,92","79,17M","5,86%"
"01.12.2022","16,54","17,33","17,42","15,08","44,57M","-5,00%"
"01.11.2022","17,41","21,32","22,13","15,52","45,99M","-17,57%"
"01.10.2022","21,12","19,70","21,22","19,43","32,77M","9,15%"
"01.09.2022","19,35","17,05","19,60","16,75","47,00M","13,22%"
"01.08.2022","17,09","16,36","18,85","16,15","40,34M","4,21%"
"01.07.2022","16,40","15,56","16,75","15,42","29,62M","5,40%"
"01.06.2022","15,56","18,76","18,76","15,36","47,11M","-17,10%"
"01.05.2022","18,77","20,15","20,37","17,65","41,68M","-6,76%"
