"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,46","9,56","9,94","8,06","2,19M","-0,73%"
"01.03.2024","9,53","10,17","10,33","9,01","5,13M","-6,29%"
"01.02.2024","10,17","8,60","10,50","7,67","107,90M","18,53%"
"01.01.2024","8,58","10,10","10,12","8,02","90,26M","-15,22%"
"01.12.2023","10,12","9,63","10,29","8,88","75,68M","5,75%"
"01.11.2023","9,57","8,27","9,90","8,19","91,68M","16,00%"
"01.10.2023","8,25","8,00","8,31","7,18","106,45M","2,48%"
"01.09.2023","8,05","8,45","9,22","7,56","93,54M","-4,28%"
"01.08.2023","8,41","9,60","10,24","8,39","152,94M","-12,67%"
"01.07.2023","9,63","9,32","9,78","8,35","123,38M","3,55%"
"01.06.2023","9,30","10,50","11,54","9,08","132,88M","-10,92%"
"01.05.2023","10,44","7,41","10,83","7,08","235,96M","40,89%"
"01.04.2023","7,41","8,17","8,48","6,81","176,50M","-9,08%"
"01.03.2023","8,15","9,56","10,27","7,60","140,47M","-13,57%"
"01.02.2023","9,43","13,57","14,24","9,17","128,73M","-30,71%"
"01.01.2023","13,61","14,93","15,24","12,71","82,67M","-9,75%"
"01.12.2022","15,08","16,81","16,85","13,00","79,33M","-9,97%"
"01.11.2022","16,75","21,95","22,51","15,34","107,84M","-23,72%"
"01.10.2022","21,96","22,01","23,89","19,12","55,66M","3,24%"
"01.09.2022","21,27","20,64","23,42","19,61","71,04M","3,05%"
"01.08.2022","20,64","21,98","23,32","18,32","119,16M","-6,14%"
"01.07.2022","21,99","19,03","22,49","17,71","76,36M","14,89%"
"01.06.2022","19,14","21,66","21,94","17,95","72,90M","-12,00%"
"01.05.2022","21,75","19,47","23,24","18,90","135,60M","10,97%"
