"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,22","10,34","10,39","9,06","619,02K","-5,63%"
"01.03.2024","9,77","9,57","10,18","9,37","423,07K","2,09%"
"01.02.2024","9,57","9,54","9,69","9,24","321,15K","0,95%"
"01.01.2024","9,48","10,21","10,21","9,29","472,06K","-7,15%"
"01.12.2023","10,21","9,24","10,21","9,18","398,01K","9,43%"
"01.11.2023","9,33","8,94","9,58","8,89","406,12K","4,13%"
"01.10.2023","8,96","9,32","9,32","8,82","352,35K","-3,86%"
"01.09.2023","9,32","9,07","9,58","9,01","425,36K","1,53%"
"01.08.2023","9,18","9,26","9,49","8,82","657,59K","-1,61%"
"01.07.2023","9,33","9,63","9,68","8,92","698,57K","-3,62%"
"01.06.2023","9,68","9,34","10,20","9,09","621,92K","3,64%"
"01.05.2023","9,34","8,68","9,42","8,53","455,00K","6,74%"
"01.04.2023","8,75","7,87","8,78","7,65","1,04M","11,46%"
"01.03.2023","7,85","7,91","8,34","7,38","1,03M","-0,25%"
"01.02.2023","7,87","8,14","8,32","7,85","287,27K","-4,26%"
"01.01.2023","8,22","8,34","8,45","7,75","290,09K","-0,60%"
"01.12.2022","8,27","7,96","8,45","6,98","609,81K","4,68%"
"01.11.2022","7,90","8,10","8,35","7,33","360,39K","-3,07%"
"01.10.2022","8,15","8,00","8,30","7,64","259,80K","1,12%"
"01.09.2022","8,06","8,27","8,36","7,61","253,31K","-2,30%"
"01.08.2022","8,25","7,89","8,48","7,76","318,64K","5,10%"
"01.07.2022","7,85","7,51","7,96","7,36","280,89K","4,95%"
"01.06.2022","7,48","7,79","7,87","7,19","341,46K","-3,73%"
"01.05.2022","7,77","7,69","7,88","7,26","320,91K","1,04%"
