"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,54","1,89","1,89","1,45","435,20K","-16,76%"
"01.03.2024","1,85","2,30","2,72","1,66","710,30K","-18,86%"
"01.02.2024","2,28","2,70","2,75","2,20","11,42M","-12,98%"
"01.01.2024","2,62","3,63","3,71","2,53","11,47M","-29,57%"
"01.12.2023","3,72","3,90","4,22","3,31","14,03M","-3,88%"
"01.11.2023","3,87","2,51","4,14","2,47","23,90M","54,18%"
"01.10.2023","2,51","3,05","3,05","2,15","24,27M","-16,33%"
"01.09.2023","3,00","3,25","3,65","2,90","21,21M","-10,45%"
"01.08.2023","3,35","4,45","4,95","3,35","21,98M","-24,72%"
"01.07.2023","4,45","4,50","4,60","3,85","22,99M","1,14%"
"01.06.2023","4,40","3,25","5,45","3,15","40,71M","37,50%"
"01.05.2023","3,20","3,20","3,55","3,05","21,33M","1,59%"
"01.04.2023","3,15","3,05","4,45","2,90","43,48M","-1,56%"
"01.03.2023","3,20","3,20","3,95","2,95","45,19M","1,59%"
"01.02.2023","3,15","6,90","7,20","3,10","49,03M","-54,35%"
"01.01.2023","6,90","6,20","7,65","5,70","35,40M","10,40%"
"01.12.2022","6,25","7,40","7,50","5,25","35,08M","-15,54%"
"01.11.2022","7,40","10,40","11,30","7,00","29,58M","-28,50%"
"01.10.2022","10,35","12,40","13,70","9,40","22,58M","-13,39%"
"01.09.2022","11,95","12,65","13,75","10,95","16,51M","-5,53%"
"01.08.2022","12,65","10,85","15,50","10,80","20,98M","15,53%"
"01.07.2022","10,95","8,65","12,05","8,10","19,86M","27,33%"
"01.06.2022","8,60","12,10","12,10","8,55","17,95M","-28,63%"
"01.05.2022","12,05","11,65","13,70","9,75","26,65M","3,43%"
