"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","0,56","0,66","0,67","0,49","22,69M","-13,85%"
"01.03.2024","0,65","0,51","0,66","0,50","11,83M","27,45%"
"01.02.2024","0,51","0,82","0,83","0,50","437,35M","-37,80%"
"01.01.2024","0,82","0,91","0,92","0,77","332,27M","-9,89%"
"01.12.2023","0,91","0,93","1,01","0,89","445,46M","-1,09%"
"01.11.2023","0,92","0,84","1,28","0,79","569,27M","8,24%"
"01.10.2023","0,85","0,93","0,95","0,72","181,16M","-10,53%"
"01.09.2023","0,95","0,88","1,04","0,67","201,58M","9,20%"
"01.08.2023","0,87","1,13","1,15","0,87","213,66M","-23,01%"
"01.07.2023","1,13","1,18","1,19","1,10","201,25M","-3,42%"
"01.06.2023","1,17","1,08","1,38","1,07","442,98M","8,33%"
"01.05.2023","1,08","1,04","1,18","1,01","331,27M","3,85%"
"01.04.2023","1,04","1,01","1,29","0,96","564,84M","4,00%"
"01.03.2023","1,00","1,01","1,22","0,91","962,59M","0,00%"
"01.02.2023","1,00","1,97","2,14","0,96","1,75B","-42,86%"
"01.01.2023","1,75","9,47","12,21","0,64","2,38B","-81,87%"
"01.12.2022","9,65","10,46","10,48","7,32","739,81M","-8,62%"
"01.11.2022","10,56","15,57","17,13","9,61","605,47M","-32,05%"
"01.10.2022","15,54","17,69","21,90","13,59","633,37M","-8,48%"
"01.09.2022","16,98","16,40","18,27","14,24","502,77M","3,92%"
"01.08.2022","16,34","13,93","20,31","12,61","770,48M","16,71%"
"01.07.2022","14,00","13,30","17,55","12,09","264,82M","4,24%"
"01.06.2022","13,43","20,16","20,21","12,75","253,71M","-33,18%"
"01.05.2022","20,10","23,99","25,22","20,09","211,55M","-16,25%"
