"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","3,38","4,91","4,97","3,30","7,22M","-31,02%"
"01.03.2024","4,90","5,07","5,46","4,61","3,23M","-4,30%"
"01.02.2024","5,12","4,42","5,15","4,01","106,60M","16,63%"
"01.01.2024","4,39","4,50","4,74","4,00","136,92M","-1,57%"
"01.12.2023","4,46","3,97","4,63","3,60","157,69M","12,34%"
"01.11.2023","3,97","2,63","3,99","2,60","185,94M","52,69%"
"01.10.2023","2,60","3,05","3,24","2,56","171,57M","-15,31%"
"01.09.2023","3,07","3,68","3,84","2,49","199,87M","-15,66%"
"01.08.2023","3,64","4,79","5,06","3,60","227,76M","-24,32%"
"01.07.2023","4,81","4,25","4,95","3,87","143,60M","14,80%"
"01.06.2023","4,19","3,01","4,56","3,00","197,24M","40,13%"
"01.05.2023","2,99","2,30","3,12","2,01","264,04M","29,44%"
"01.04.2023","2,31","2,54","2,60","2,10","174,77M","-7,97%"
"01.03.2023","2,51","3,19","4,10","2,39","189,22M","-21,32%"
"01.02.2023","3,19","4,41","4,73","3,19","86,78M","-27,83%"
"01.01.2023","4,42","3,82","4,51","3,46","108,51M","14,51%"
"01.12.2022","3,86","4,38","4,59","3,61","106,87M","-12,67%"
"01.11.2022","4,42","6,89","7,52","4,13","111,72M","-35,47%"
"01.10.2022","6,85","6,07","6,91","5,52","82,58M","13,04%"
"01.09.2022","6,06","5,07","6,10","4,90","66,80M","19,76%"
"01.08.2022","5,06","4,45","5,69","4,36","75,74M","12,95%"
"01.07.2022","4,48","3,92","4,78","3,57","66,64M","14,87%"
"01.06.2022","3,90","5,53","5,83","3,89","71,91M","-30,11%"
"01.05.2022","5,58","5,58","5,83","4,79","54,70M","0,54%"
