"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","10,45","12,69","12,69","10,11","15,57M","-17,00%"
"01.03.2024","12,59","12,74","13,80","11,50","11,48M","-0,71%"
"01.02.2024","12,68","14,28","14,40","12,65","12,07M","-11,20%"
"01.01.2024","14,28","16,82","16,87","13,68","11,14M","-16,25%"
"01.12.2023","17,05","16,61","18,14","16,49","10,97M","2,40%"
"01.11.2023","16,65","12,17","16,65","12,00","15,58M","37,26%"
"01.10.2023","12,13","12,70","13,98","11,64","13,70M","-5,53%"
"01.09.2023","12,84","12,60","13,37","11,05","12,57M","1,18%"
"01.08.2023","12,69","13,09","14,77","12,59","16,19M","-3,28%"
"01.07.2023","13,12","14,90","16,08","12,59","11,65M","-12,42%"
"01.06.2023","14,98","15,71","16,20","13,72","10,89M","-4,65%"
"01.05.2023","15,71","12,00","16,57","11,05","13,25M","29,51%"
"01.04.2023","12,13","11,63","12,83","11,03","6,15M","5,39%"
"01.03.2023","11,51","13,43","15,42","10,51","10,14M","-15,24%"
"01.02.2023","13,58","13,25","14,95","11,52","8,24M","3,51%"
"01.01.2023","13,12","11,74","13,24","9,85","6,93M","11,66%"
"01.12.2022","11,75","11,56","12,69","9,01","13,53M","0,34%"
"01.11.2022","11,71","16,12","16,99","11,53","12,32M","-27,36%"
"01.10.2022","16,12","14,80","16,83","14,02","6,96M","12,49%"
"01.09.2022","14,33","15,90","17,22","13,31","10,20M","-10,44%"
"01.08.2022","16,00","11,92","17,41","11,54","9,30M","34,68%"
"01.07.2022","11,88","11,79","12,49","9,96","6,16M","-2,14%"
"01.06.2022","12,14","13,76","14,02","11,08","8,29M","-12,16%"
"01.05.2022","13,82","14,87","14,87","11,25","13,61M","-5,94%"
