"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","51,92","64,02","64,23","50,00","1,93M","-19,22%"
"01.03.2024","64,27","59,30","65,01","56,83","4,71M","8,51%"
"01.02.2024","59,23","62,48","66,00","57,50","50,44M","-5,37%"
"01.01.2024","62,59","64,52","66,03","55,30","59,22M","-3,01%"
"01.12.2023","64,53","59,67","69,30","57,50","35,73M","8,75%"
"01.11.2023","59,34","57,92","63,82","56,17","45,05M","1,63%"
"01.10.2023","58,39","64,91","68,07","56,79","34,61M","-10,11%"
"01.09.2023","64,96","71,00","74,28","60,52","28,66M","-8,08%"
"01.08.2023","70,67","82,07","84,48","70,67","37,92M","-14,24%"
"01.07.2023","82,40","79,71","85,93","76,42","28,67M","4,21%"
"01.06.2023","79,07","74,30","81,40","73,52","35,92M","7,18%"
"01.05.2023","73,77","65,97","75,85","58,10","40,79M","11,13%"
"01.04.2023","66,38","63,41","70,91","59,29","36,32M","4,52%"
"01.03.2023","63,51","74,60","80,16","59,72","45,06M","-14,87%"
"01.02.2023","74,60","87,73","91,00","74,21","21,09M","-14,84%"
"01.01.2023","87,60","77,89","89,28","70,88","27,67M","11,95%"
"01.12.2022","78,25","88,31","88,35","72,13","31,99M","-11,75%"
"01.11.2022","88,67","103,94","104,92","81,56","31,07M","-14,29%"
"01.10.2022","103,45","98,54","103,89","92,93","22,54M","6,19%"
"01.09.2022","97,42","92,76","100,51","89,47","25,36M","6,50%"
"01.08.2022","91,47","78,20","92,65","77,42","27,04M","16,74%"
"01.07.2022","78,35","69,25","79,59","65,40","20,76M","14,85%"
"01.06.2022","68,22","77,76","81,08","65,94","20,80M","-13,28%"
"01.05.2022","78,67","86,34","87,96","76,07","22,66M","-9,90%"
