"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,26","1,98","2,67","1,98","22,80K","10,78%"
"01.03.2024","2,04","1,91","2,04","1,89","8,20K","7,37%"
"01.02.2024","1,90","2,09","2,12","1,90","297,10K","-9,09%"
"01.01.2024","2,09","2,13","2,45","2,09","268,10K","-1,88%"
"01.12.2023","2,13","2,10","2,30","2,08","188,20K","1,43%"
"01.11.2023","2,10","1,95","2,34","1,90","310,70K","6,06%"
"01.10.2023","1,98","2,20","2,23","1,90","156,00K","-10,00%"
"01.09.2023","2,20","2,24","2,42","2,18","119,90K","-3,93%"
"01.08.2023","2,29","2,58","2,59","2,22","171,60K","-9,84%"
"01.07.2023","2,54","2,64","2,98","2,52","556,90K","-3,79%"
"01.06.2023","2,64","2,42","2,89","2,36","544,10K","8,20%"
"01.05.2023","2,44","2,82","2,86","2,44","399,00K","-13,78%"
"01.04.2023","2,83","2,56","3,17","2,46","466,20K","10,49%"
"01.03.2023","2,56","2,24","2,64","2,19","606,90K","17,28%"
"01.02.2023","2,18","2,07","2,34","1,91","361,60K","6,58%"
"01.01.2023","2,05","2,23","2,24","1,98","185,70K","-8,06%"
"01.12.2022","2,23","2,09","2,24","1,84","325,50K","6,90%"
"01.11.2022","2,09","2,26","2,27","1,99","253,90K","-3,33%"
"01.10.2022","2,16","2,34","2,41","2,09","235,20K","-7,34%"
"01.09.2022","2,33","2,35","2,57","2,23","473,50K","-0,77%"
"01.08.2022","2,35","2,39","2,53","2,26","556,60K","-1,14%"
"01.07.2022","2,37","2,37","2,43","2,13","478,50K","1,15%"
"01.06.2022","2,35","2,50","2,61","2,16","1,41M","-2,97%"
"01.05.2022","2,42","2,52","2,83","1,90","904,30K","6,37%"
