"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","1,21","1,20","1,86","1,04","2,72M","6,14%"
"01.03.2024","1,14","1,51","1,52","1,04","2,58M","-24,00%"
"01.02.2024","1,50","1,51","1,70","1,40","37,53M","-1,32%"
"01.01.2024","1,52","1,98","2,06","1,46","53,31M","-22,45%"
"01.12.2023","1,96","2,22","2,45","1,93","52,94M","-10,09%"
"01.11.2023","2,18","1,95","2,48","1,83","41,66M","12,95%"
"01.10.2023","1,93","2,59","2,84","1,82","48,05M","-25,48%"
"01.09.2023","2,59","2,67","2,91","1,86","53,23M","-1,52%"
"01.08.2023","2,63","2,17","3,65","1,96","66,54M","19,55%"
"01.07.2023","2,20","1,97","2,27","1,61","37,31M","13,40%"
"01.06.2023","1,94","1,59","2,69","1,45","27,62M","24,36%"
"01.05.2023","1,56","1,21","1,72","1,15","12,68M","30,00%"
"01.04.2023","1,20","1,36","1,38","1,18","5,65M","-14,29%"
"01.03.2023","1,40","1,55","1,70","1,25","6,84M","-7,28%"
"01.02.2023","1,51","1,98","2,24","1,46","8,56M","-22,96%"
"01.01.2023","1,96","1,39","2,10","1,32","8,53M","45,19%"
"01.12.2022","1,35","1,58","1,66","1,19","7,49M","-14,56%"
"01.11.2022","1,58","1,99","2,19","1,48","5,38M","-21,78%"
"01.10.2022","2,02","2,08","2,54","1,84","7,20M","2,02%"
"01.09.2022","1,98","2,19","2,37","1,95","6,00M","-9,59%"
"01.08.2022","2,19","2,51","2,92","2,18","5,75M","-10,61%"
"01.07.2022","2,45","2,37","2,78","2,00","6,40M","0,00%"
"01.06.2022","2,45","2,74","3,09","2,04","6,38M","-10,91%"
"01.05.2022","2,75","3,12","3,14","2,48","5,75M","-11,86%"
