"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,75","13,36","13,75","8,86","15,57M","-25,23%"
"01.03.2024","13,04","12,11","14,54","11,86","14,25M","7,86%"
"01.02.2024","12,09","13,49","14,23","11,62","248,91M","-9,78%"
"01.01.2024","13,40","15,82","15,82","12,49","331,85M","-16,30%"
"01.12.2023","16,01","16,99","17,44","15,51","228,60M","-5,21%"
"01.11.2023","16,89","12,92","18,17","12,73","266,25M","31,13%"
"01.10.2023","12,88","14,67","14,71","11,98","280,25M","-11,05%"
"01.09.2023","14,48","14,60","15,50","12,77","208,43M","-0,07%"
"01.08.2023","14,49","17,53","18,27","14,34","249,59M","-18,14%"
"01.07.2023","17,70","22,07","22,33","16,61","286,80M","-19,03%"
"01.06.2023","21,86","16,92","22,08","16,80","299,62M","29,73%"
"01.05.2023","16,85","10,90","16,87","10,63","365,71M","55,16%"
"01.04.2023","10,86","11,60","12,75","9,74","234,08M","-9,73%"
"01.03.2023","12,03","7,21","14,70","6,71","466,68M","68,72%"
"01.02.2023","7,13","11,88","12,95","7,07","339,83M","-39,83%"
"01.01.2023","11,85","10,82","12,56","10,06","211,39M","7,63%"
"01.12.2022","11,01","12,23","12,44","9,36","283,00M","-10,34%"
"01.11.2022","12,28","16,20","16,94","11,69","273,10M","-23,87%"
"01.10.2022","16,13","15,37","17,64","14,26","181,83M","9,58%"
"01.09.2022","14,72","16,41","18,30","14,11","199,59M","-10,73%"
"01.08.2022","16,49","11,61","18,61","11,43","226,67M","40,58%"
"01.07.2022","11,73","12,43","12,89","11,06","244,94M","-5,25%"
"01.06.2022","12,38","20,27","20,33","11,98","207,81M","-38,44%"
"01.05.2022","20,11","22,06","22,41","18,20","163,54M","-8,47%"
