"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","10,79","12,07","12,41","10,57","60,63M","-10,01%"
"01.03.2024","11,99","12,52","12,96","11,78","30,12M","-6,55%"
"01.02.2024","12,83","13,04","13,43","12,05","797,51M","-1,99%"
"01.01.2024","13,09","14,31","14,40","12,93","641,14M","-10,03%"
"01.12.2023","14,55","13,33","15,13","13,15","669,36M","9,40%"
"01.11.2023","13,30","11,14","13,45","11,13","729,75M","19,82%"
"01.10.2023","11,10","12,18","12,27","10,95","893,92M","-9,68%"
"01.09.2023","12,29","12,75","13,32","11,88","638,26M","-4,95%"
"01.08.2023","12,93","14,79","15,32","12,84","642,03M","-13,22%"
"01.07.2023","14,90","14,65","15,52","13,54","585,49M","1,98%"
"01.06.2023","14,61","13,34","15,21","13,27","908,94M","10,59%"
"01.05.2023","13,21","11,54","13,72","11,16","916,14M","14,04%"
"01.04.2023","11,58","10,27","12,20","10,11","729,84M","12,85%"
"01.03.2023","10,27","10,47","11,80","10,05","1,40B","-1,34%"
"01.02.2023","10,40","12,77","13,06","10,12","850,03M","-18,32%"
"01.01.2023","12,74","12,57","13,42","11,44","791,76M","-1,42%"
"01.12.2022","12,92","12,23","13,35","10,72","1,06B","3,97%"
"01.11.2022","12,43","14,66","15,60","11,01","1,45B","-15,36%"
"01.10.2022","14,68","13,75","14,80","12,80","1,07B","15,25%"
"01.09.2022","12,74","11,41","13,41","11,31","957,22M","10,81%"
"01.08.2022","11,50","10,69","12,88","10,35","774,65M","6,85%"
"01.07.2022","10,76","10,43","11,19","9,42","849,16M","1,19%"
"01.06.2022","10,63","12,25","12,46","10,30","577,14M","-13,17%"
"01.05.2022","12,25","12,70","12,97","10,72","1,01B","-3,98%"
