"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2024","8,40","8,40","8,40","8,40","","0,00%"
"01.04.2024","8,40","9,29","9,50","7,77","0,80K","-10,54%"
"01.03.2024","9,39","6,60","9,39","6,02","7,90K","44,46%"
"01.02.2024","6,50","7,84","7,95","6,44","55,90K","-17,09%"
"01.01.2024","7,84","8,30","8,35","7,59","86,90K","-4,27%"
"01.12.2023","8,19","8,07","8,58","7,45","106,30K","1,61%"
"01.11.2023","8,06","9,15","9,91","7,90","68,70K","-10,44%"
"01.10.2023","9,00","9,70","10,00","8,25","47,50K","-9,91%"
"01.09.2023","9,99","9,71","11,85","9,71","48,20K","9,66%"
"01.08.2023","9,11","9,11","11,40","8,50","82,00K","1,22%"
"01.07.2023","9,00","8,51","14,00","8,15","238,80K","5,88%"
"01.06.2023","8,50","8,30","9,50","8,30","303,90K","-0,58%"
"01.05.2023","8,55","9,72","10,58","8,20","97,40K","-14,50%"
"01.04.2023","10,00","8,66","12,77","7,80","126,46K","12,80%"
"01.03.2023","8,87","11,10","11,10","8,85","81,24K","-20,38%"
"01.02.2023","11,13","13,89","14,29","11,05","57,23K","-23,17%"
"01.01.2023","14,49","11,77","14,49","10,58","83,64K","11,54%"
"01.12.2022","12,99","13,19","13,99","10,20","81,24K","-4,34%"
"01.11.2022","13,58","14,99","16,09","12,69","254,33K","-12,32%"
"01.10.2022","15,49","11,79","16,49","11,31","296,85K","29,27%"
"01.09.2022","11,98","9,72","12,49","9,51","126,16K","19,90%"
"01.08.2022","9,99","10,31","11,89","9,60","93,65K","0,00%"
"01.07.2022","9,99","11,28","12,47","9,11","108,96K","-9,09%"
"01.06.2022","10,99","13,29","13,49","10,49","81,54K","-17,29%"
"01.05.2022","13,29","14,50","14,99","12,99","137,57K","-11,21%"
