"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,12","6,75","6,92","5,96","7,66M","-9,33%"
"01.03.2024","6,75","6,82","7,28","6,47","10,88M","-0,88%"
"01.02.2024","6,81","6,87","6,93","6,33","181,44M","-0,58%"
"01.01.2024","6,85","7,46","7,47","6,67","233,06M","-8,30%"
"01.12.2023","7,47","7,29","7,67","7,11","202,50M","2,89%"
"01.11.2023","7,26","7,56","8,17","6,81","386,69M","-4,10%"
"01.10.2023","7,57","8,10","8,33","7,31","168,84M","-6,43%"
"01.09.2023","8,09","8,43","9,12","8,01","221,63M","-3,69%"
"01.08.2023","8,40","9,94","11,34","8,34","300,03M","-16,75%"
"01.07.2023","10,09","10,70","10,73","9,24","169,83M","-5,08%"
"01.06.2023","10,63","10,28","11,55","9,80","234,11M","4,01%"
"01.05.2023","10,22","8,55","10,83","8,00","255,95M","19,53%"
"01.04.2023","8,55","10,13","10,15","8,07","242,92M","-15,58%"
"01.03.2023","10,13","10,85","11,85","10,05","235,89M","-6,97%"
"01.02.2023","10,89","13,45","13,60","10,43","170,63M","-19,01%"
"01.01.2023","13,44","12,40","15,01","11,82","158,26M","7,95%"
"01.12.2022","12,45","11,97","12,89","10,79","148,51M","3,68%"
"01.11.2022","12,01","13,25","14,81","11,72","136,37M","-8,63%"
"01.10.2022","13,14","12,32","14,00","11,67","151,10M","9,09%"
"01.09.2022","12,05","14,60","15,14","11,98","167,88M","-18,83%"
"01.08.2022","14,85","12,31","15,77","11,70","155,42M","19,75%"
"01.07.2022","12,40","12,49","13,94","12,11","102,10M","-1,28%"
"01.06.2022","12,56","13,33","13,79","11,79","131,26M","-6,68%"
"01.05.2022","13,46","12,70","13,68","11,12","176,62M","8,30%"
