"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","6,85","6,83","7,60","5,43","5,99M","1,03%"
"01.03.2024","6,78","9,21","10,27","5,93","6,04M","-25,00%"
"01.02.2024","9,04","7,89","9,15","6,70","113,04M","14,58%"
"01.01.2024","7,89","11,34","11,70","7,57","82,40M","-30,67%"
"01.12.2023","11,38","13,50","14,00","10,05","98,62M","-15,70%"
"01.11.2023","13,50","11,25","16,25","11,00","73,47M","20,00%"
"01.10.2023","11,25","15,25","16,00","11,00","58,15M","-28,57%"
"01.09.2023","15,75","28,44","33,00","14,00","113,57M","-43,30%"
"01.08.2023","27,78","46,81","47,25","27,56","87,83M","-41,21%"
"01.07.2023","47,25","47,68","49,21","41,12","52,64M","0,47%"
"01.06.2023","47,03","52,50","58,84","46,59","64,47M","-9,66%"
"01.05.2023","52,06","40,03","52,93","38,28","58,40M","29,34%"
"01.04.2023","40,25","39,37","45,93","36,09","51,66M","-2,12%"
"01.03.2023","41,12","42,65","47,46","36,75","71,49M","-2,61%"
"01.02.2023","42,22","52,50","55,78","42,22","56,63M","-19,58%"
"01.01.2023","52,50","51,40","59,93","47,03","90,72M","0,00%"
"01.12.2022","52,50","47,46","57,96","41,56","76,00M","10,11%"
"01.11.2022","47,68","68,68","72,62","44,62","80,07M","-30,35%"
"01.10.2022","68,46","73,71","88,37","60,81","73,50M","-1,89%"
"01.09.2022","69,78","70,43","75,90","61,90","72,03M","-0,92%"
"01.08.2022","70,43","52,50","81,81","50,53","86,11M","34,15%"
"01.07.2022","52,50","42,22","58,62","38,50","59,18M","25,00%"
"01.06.2022","42,00","68,68","71,31","41,78","47,67M","-38,85%"
"01.05.2022","68,68","65,18","74,15","55,12","49,55M","5,73%"
