"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","20,19","10,45","20,19","9,42","124,30K","97,94%"
"01.03.2024","10,20","9,72","10,94","8,00","8,40K","3,13%"
"01.02.2024","9,89","5,21","12,22","5,00","1,29M","89,46%"
"01.01.2024","5,22","5,85","5,99","5,05","316,70K","-9,69%"
"01.12.2023","5,78","6,16","6,69","5,68","189,58K","-5,56%"
"01.11.2023","6,12","4,50","6,48","4,38","317,70K","34,51%"
"01.10.2023","4,55","5,04","5,05","4,03","149,70K","-9,72%"
"01.09.2023","5,04","5,30","5,49","4,86","74,50K","-5,97%"
"01.08.2023","5,36","6,35","6,98","5,32","359,00K","-18,17%"
"01.07.2023","6,55","5,59","7,10","5,24","425,68K","14,91%"
"01.06.2023","5,70","6,40","6,48","5,02","402,50K","-10,94%"
"01.05.2023","6,40","3,75","6,50","3,69","425,70K","67,54%"
"01.04.2023","3,82","3,82","4,15","3,60","259,70K","0,26%"
"01.03.2023","3,81","4,48","5,97","3,10","914,30K","-14,19%"
"01.02.2023","4,44","5,90","5,99","4,41","171,80K","-25,38%"
"01.01.2023","5,95","6,65","7,20","5,82","298,80K","-12,37%"
"01.12.2022","6,79","5,59","6,94","5,28","229,50K","25,74%"
"01.11.2022","5,40","6,49","7,00","5,35","442,10K","-16,41%"
"01.10.2022","6,46","7,66","7,93","6,30","198,10K","-13,06%"
"01.09.2022","7,43","8,00","8,49","6,96","270,70K","-6,75%"
"01.08.2022","7,97","7,31","9,95","7,00","184,04K","9,29%"
"01.07.2022","7,29","7,97","7,97","6,77","109,64K","-6,87%"
"01.06.2022","7,83","10,36","10,56","7,47","1,84M","-24,86%"
"01.05.2022","10,42","11,24","11,38","8,96","127,41K","-5,51%"
