"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","10,07","12,55","12,73","9,29","7,66M","-19,12%"
"01.03.2024","12,45","12,36","12,80","11,41","6,08M","0,32%"
"01.02.2024","12,41","12,28","13,10","11,60","6,61M","1,72%"
"01.01.2024","12,20","16,42","16,42","12,18","8,63M","-25,66%"
"01.12.2023","16,41","15,59","16,94","14,96","6,85M","4,72%"
"01.11.2023","15,67","15,36","17,73","14,18","15,74M","3,09%"
"01.10.2023","15,20","16,10","16,70","15,09","8,23M","-5,00%"
"01.09.2023","16,00","17,72","17,97","15,12","11,53M","-9,45%"
"01.08.2023","17,67","20,69","22,09","17,57","11,59M","-14,97%"
"01.07.2023","20,78","18,80","21,00","18,50","13,93M","11,66%"
"01.06.2023","18,61","20,05","22,34","18,38","13,56M","-8,33%"
"01.05.2023","20,30","19,90","22,40","17,45","8,16M","2,11%"
"01.04.2023","19,88","24,00","24,71","18,84","8,32M","-17,51%"
"01.03.2023","24,10","28,70","31,16","23,57","10,22M","-14,80%"
"01.02.2023","28,29","29,08","31,24","27,01","4,06M","-2,76%"
"01.01.2023","29,09","28,00","29,20","25,23","4,10M","10,52%"
"01.12.2022","26,32","28,80","28,99","23,34","5,06M","-10,72%"
"01.11.2022","29,48","35,58","35,58","27,55","7,12M","-12,86%"
"01.10.2022","33,83","32,13","34,37","30,12","8,86M","3,74%"
"01.09.2022","32,61","32,40","33,91","29,70","7,51M","2,42%"
"01.08.2022","31,84","27,17","32,30","27,05","13,68M","13,43%"
"01.07.2022","28,07","24,49","28,07","23,52","10,66M","12,01%"
"01.06.2022","25,06","25,10","26,10","23,00","8,56M","5,21%"
"01.05.2022","23,82","24,79","25,08","21,55","8,62M","-4,34%"
