"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,67","13,71","13,88","11,60","10,87M","-15,62%"
"01.03.2024","13,83","13,47","13,90","13,03","5,27M","2,60%"
"01.02.2024","13,48","12,23","13,71","12,08","4,99M","10,22%"
"01.01.2024","12,23","14,01","14,04","12,01","6,85M","-12,64%"
"01.12.2023","14,00","12,29","14,17","11,82","5,03M","9,46%"
"01.11.2023","12,79","12,14","13,73","12,00","10,61M","6,14%"
"01.10.2023","12,05","11,71","12,75","11,30","10,74M","1,60%"
"01.09.2023","11,86","11,81","12,66","11,32","13,00M","1,11%"
"01.08.2023","11,73","13,50","14,27","11,68","13,76M","-13,11%"
"01.07.2023","13,50","14,23","14,46","12,86","8,50M","-4,86%"
"01.06.2023","14,19","14,21","14,80","13,68","7,65M","0,14%"
"01.05.2023","14,17","13,67","14,90","13,20","9,23M","3,66%"
"01.04.2023","13,67","13,65","14,76","12,96","6,08M","-0,73%"
"01.03.2023","13,77","13,77","14,31","12,42","7,67M","-0,96%"
"01.02.2023","13,90","15,78","16,07","13,54","6,29M","-13,10%"
"01.01.2023","16,00","14,27","16,09","13,30","8,42M","11,81%"
"01.12.2022","14,31","14,55","15,28","13,35","7,80M","-1,99%"
"01.11.2022","14,60","16,86","17,21","13,74","9,43M","-12,57%"
"01.10.2022","16,70","15,40","17,35","14,95","14,04M","9,44%"
"01.09.2022","15,26","14,08","15,56","14,00","8,16M","8,00%"
"01.08.2022","14,13","12,79","15,08","12,34","7,45M","9,45%"
"01.07.2022","12,91","11,93","12,95","10,56","8,69M","7,85%"
"01.06.2022","11,97","14,07","14,19","11,54","10,60M","-14,99%"
"01.05.2022","14,08","14,18","15,02","12,31","12,11M","-2,36%"
