"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,26","2,29","2,32","2,09","9,60K","-1,74%"
"01.03.2024","2,30","2,41","2,58","2,20","18,90K","-4,17%"
"01.02.2024","2,40","2,25","2,50","2,10","687,60K","6,67%"
"01.01.2024","2,25","2,04","2,38","1,95","3,25M","10,29%"
"01.12.2023","2,04","2,00","2,15","1,87","653,70K","1,49%"
"01.11.2023","2,01","1,58","2,16","1,57","1,31M","30,52%"
"01.10.2023","1,54","1,71","1,74","1,49","316,40K","-12,00%"
"01.09.2023","1,75","2,00","2,09","1,70","710,40K","-12,94%"
"01.08.2023","2,01","1,93","2,29","1,83","1,92M","3,61%"
"01.07.2023","1,94","1,74","1,94","1,66","940,60K","11,49%"
"01.06.2023","1,74","1,55","1,97","1,51","1,50M","15,23%"
"01.05.2023","1,51","1,43","1,80","1,35","2,73M","7,09%"
"01.04.2023","1,41","1,17","1,68","1,15","1,49M","17,50%"
"01.03.2023","1,20","1,18","1,25","1,13","403,10K","4,35%"
"01.02.2023","1,15","1,18","1,25","1,07","341,50K","-3,36%"
"01.01.2023","1,19","1,23","1,30","1,16","637,20K","-3,25%"
"01.12.2022","1,23","1,29","1,37","1,10","774,10K","-4,65%"
"01.11.2022","1,29","1,24","1,40","1,19","764,10K","4,03%"
"01.10.2022","1,24","1,33","1,37","1,23","538,40K","-6,06%"
"01.09.2022","1,32","1,26","1,48","1,24","728,30K","4,76%"
"01.08.2022","1,26","1,22","1,31","1,16","677,60K","3,28%"
"01.07.2022","1,22","1,31","1,31","1,19","483,60K","-6,87%"
"01.06.2022","1,31","1,42","1,52","1,30","596,00K","-7,09%"
"01.05.2022","1,41","1,45","1,59","1,37","557,30K","-2,76%"
