"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","16,88","16,37","18,10","15,53","4,85M","3,43%"
"01.03.2024","16,32","15,11","17,29","14,60","6,51M","8,08%"
"01.02.2024","15,10","13,97","15,85","13,41","163,22M","8,24%"
"01.01.2024","13,95","13,81","14,93","12,20","190,71M","1,01%"
"01.12.2023","13,81","14,60","15,39","13,37","147,20M","-5,80%"
"01.11.2023","14,66","10,74","15,49","10,69","360,14M","37,39%"
"01.10.2023","10,67","10,17","11,34","9,97","453,95M","4,71%"
"01.09.2023","10,19","9,04","10,38","8,56","532,90M","12,72%"
"01.08.2023","9,04","9,62","10,70","8,90","402,43M","-7,38%"
"01.07.2023","9,76","8,95","10,15","8,17","456,55M","9,54%"
"01.06.2023","8,91","8,16","9,80","8,14","315,32M","9,59%"
"01.05.2023","8,13","6,30","8,72","6,04","537,13M","28,23%"
"01.04.2023","6,34","6,25","6,96","5,67","264,78M","2,09%"
"01.03.2023","6,21","6,05","7,27","5,48","503,06M","0,81%"
"01.02.2023","6,16","7,95","8,71","6,16","553,56M","-22,61%"
"01.01.2023","7,96","8,20","9,34","7,42","441,79M","-3,86%"
"01.12.2022","8,28","9,41","9,41","6,62","425,69M","-12,10%"
"01.11.2022","9,42","12,65","13,25","9,26","232,92M","-25,00%"
"01.10.2022","12,56","13,20","15,62","11,92","237,26M","-2,48%"
"01.09.2022","12,88","16,09","16,65","12,77","227,63M","-18,74%"
"01.08.2022","15,85","15,86","17,85","14,95","244,34M","-0,69%"
"01.07.2022","15,96","13,38","16,70","13,27","173,42M","17,44%"
"01.06.2022","13,59","15,46","15,63","12,20","235,95M","-13,16%"
"01.05.2022","15,65","13,63","15,65","11,71","266,25M","15,24%"
