"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","20,99","25,69","26,08","20,55","10,00K","-18,14%"
"01.03.2024","25,64","21,09","27,20","19,78","122,40K","23,69%"
"01.02.2024","20,73","18,80","21,84","17,89","292,30K","10,27%"
"01.01.2024","18,80","21,65","21,65","17,86","457,10K","-13,32%"
"01.12.2023","21,69","19,00","22,46","17,30","1,20M","11,23%"
"01.11.2023","19,50","15,69","21,78","15,39","1,45M","24,28%"
"01.10.2023","15,69","22,15","22,24","15,69","919,40K","-29,16%"
"01.09.2023","22,15","23,34","25,80","21,37","752,80K","-5,74%"
"01.08.2023","23,50","26,13","26,13","22,36","867,00K","-10,13%"
"01.07.2023","26,15","28,05","29,54","24,75","819,00K","-8,12%"
"01.06.2023","28,46","22,68","31,29","22,51","873,70K","26,21%"
"01.05.2023","22,55","20,03","28,49","19,22","1,15M","10,70%"
"01.04.2023","20,37","20,50","21,95","19,25","229,00K","-0,54%"
"01.03.2023","20,48","20,85","21,34","18,76","332,10K","-1,77%"
"01.02.2023","20,85","23,46","23,87","19,73","317,00K","-11,13%"
"01.01.2023","23,46","24,97","25,15","22,41","325,90K","-7,16%"
"01.12.2022","25,27","28,61","29,14","23,10","263,80K","-11,52%"
"01.11.2022","28,56","33,83","34,97","28,40","336,40K","-15,10%"
"01.10.2022","33,64","31,56","38,00","31,00","531,30K","8,17%"
"01.09.2022","31,10","36,00","37,81","29,58","334,00K","-13,90%"
"01.08.2022","36,12","37,72","38,80","34,80","270,20K","-4,44%"
"01.07.2022","37,80","37,15","38,25","33,50","153,80K","0,77%"
"01.06.2022","37,51","44,60","45,46","36,41","234,90K","-14,77%"
"01.05.2022","44,01","40,00","44,75","37,59","234,40K","9,92%"
