"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","9,88","11,19","11,69","9,62","25,60K","-12,33%"
"01.03.2024","11,27","11,50","11,99","10,28","74,40K","-1,91%"
"01.02.2024","11,49","10,82","11,65","10,22","656,90K","5,70%"
"01.01.2024","10,87","10,74","11,60","9,93","2,00M","1,30%"
"01.12.2023","10,73","9,11","10,73","8,60","2,80M","16,88%"
"01.11.2023","9,18","9,69","10,59","9,08","2,13M","-5,07%"
"01.10.2023","9,67","9,73","9,97","8,47","1,36M","-1,83%"
"01.09.2023","9,85","10,27","10,48","8,80","1,00M","-3,34%"
"01.08.2023","10,19","9,76","11,40","9,74","2,21M","8,40%"
"01.07.2023","9,40","9,26","9,76","8,00","1,17M","1,62%"
"01.06.2023","9,25","8,30","9,87","8,01","1,18M","11,01%"
"01.05.2023","8,33","5,66","8,43","5,66","2,70M","53,56%"
"01.04.2023","5,43","5,75","6,00","5,43","248,60K","-8,83%"
"01.03.2023","5,95","6,36","6,42","4,72","1,00M","-4,94%"
"01.02.2023","6,26","6,54","6,76","6,04","535,70K","-4,63%"
"01.01.2023","6,57","6,35","6,79","5,84","485,60K","3,08%"
"01.12.2022","6,37","6,98","6,98","5,54","793,30K","-8,78%"
"01.11.2022","6,98","6,94","7,48","5,47","1,45M","0,56%"
"01.10.2022","6,94","5,56","6,94","5,50","1,08M","24,78%"
"01.09.2022","5,56","5,20","6,16","4,91","1,34M","8,09%"
"01.08.2022","5,15","4,91","5,39","4,59","841,00K","5,31%"
"01.07.2022","4,89","3,88","4,97","3,85","693,00K","20,95%"
"01.06.2022","4,04","4,90","5,03","3,75","737,10K","-18,39%"
"01.05.2022","4,95","4,53","5,22","4,25","723,20K","8,79%"
