"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,48","5,33","5,59","4,22","53,49M","-41,67%"
"01.03.2024","7,68","7,95","8,83","7,27","43,21M","-3,40%"
"01.02.2024","7,95","7,56","8,21","6,88","43,45M","5,86%"
"01.01.2024","7,51","7,93","8,32","7,14","48,40M","-5,53%"
"01.12.2023","7,95","7,50","8,54","7,35","28,39M","5,58%"
"01.11.2023","7,53","7,15","7,88","6,89","50,41M","5,46%"
"01.10.2023","7,14","6,40","7,15","6,26","44,43M","11,21%"
"01.09.2023","6,42","6,80","7,03","5,94","62,00M","-4,46%"
"01.08.2023","6,72","9,83","10,40","6,72","74,70M","-32,33%"
"01.07.2023","9,93","7,85","9,97","7,07","76,90M","27,14%"
"01.06.2023","7,81","8,70","9,79","7,63","60,82M","-12,25%"
"01.05.2023","8,90","8,50","9,60","8,00","38,84M","3,49%"
"01.04.2023","8,60","10,20","10,30","8,00","33,25M","-14,85%"
"01.03.2023","10,10","8,80","11,10","7,60","66,67M","16,09%"
"01.02.2023","8,70","11,00","11,60","8,50","46,36M","-21,62%"
"01.01.2023","11,10","12,60","12,70","10,30","61,22M","-5,93%"
"01.12.2022","11,80","11,30","13,70","11,00","85,23M","5,36%"
"01.11.2022","11,20","12,10","13,50","10,50","77,07M","-6,67%"
"01.10.2022","12,00","11,60","13,70","10,40","62,20M","6,19%"
"01.09.2022","11,30","13,10","13,80","10,40","57,84M","-13,74%"
"01.08.2022","13,10","10,50","15,50","10,40","112,70M","24,76%"
"01.07.2022","10,50","10,80","12,90","10,10","60,62M","-2,78%"
"01.06.2022","10,80","19,10","19,80","10,70","52,60M","-43,16%"
"01.05.2022","19,00","18,90","21,30","15,70","67,34M","1,06%"
