"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,33","13,91","14,20","12,18","4,93M","-10,78%"
"01.03.2024","13,82","13,78","14,55","13,48","8,88M","0,29%"
"01.02.2024","13,78","13,14","14,14","12,95","173,04M","5,03%"
"01.01.2024","13,12","14,07","14,13","13,09","95,97M","-7,48%"
"01.12.2023","14,18","13,54","14,58","13,30","108,53M","4,73%"
"01.11.2023","13,54","12,18","13,61","11,80","149,92M","13,02%"
"01.10.2023","11,98","12,69","12,80","11,48","162,04M","-7,06%"
"01.09.2023","12,89","12,48","13,16","12,20","178,57M","3,45%"
"01.08.2023","12,46","13,28","13,54","12,41","242,45M","-6,25%"
"01.07.2023","13,29","14,05","14,19","13,24","123,45M","-5,41%"
"01.06.2023","14,05","13,55","14,43","13,46","169,85M","3,54%"
"01.05.2023","13,57","13,60","14,08","13,23","217,05M","0,00%"
"01.04.2023","13,57","12,75","13,62","12,22","184,23M","6,32%"
"01.03.2023","12,76","10,96","12,76","10,65","253,61M","16,47%"
"01.02.2023","10,96","11,69","11,87","10,48","177,08M","-6,55%"
"01.01.2023","11,73","10,64","12,28","10,01","286,46M","8,69%"
"01.12.2022","10,79","11,56","11,79","9,99","207,86M","-8,38%"
"01.11.2022","11,78","12,66","13,07","10,89","290,07M","-6,78%"
"01.10.2022","12,63","12,56","13,00","11,54","240,47M","3,43%"
"01.09.2022","12,21","13,44","14,19","11,93","229,53M","-9,14%"
"01.08.2022","13,44","12,71","14,38","12,38","186,87M","6,16%"
"01.07.2022","12,66","12,14","12,81","11,41","147,62M","3,67%"
"01.06.2022","12,21","13,17","13,23","11,90","156,41M","-6,07%"
"01.05.2022","13,00","12,12","13,00","11,42","220,72M","7,49%"
