"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,02","10,70","12,80","9,77","5,83M","3,57%"
"01.03.2024","10,64","9,37","10,78","8,89","3,92M","13,55%"
"01.02.2024","9,37","7,30","9,60","6,94","79,83M","28,36%"
"01.01.2024","7,30","7,85","8,18","6,80","59,86M","-6,77%"
"01.12.2023","7,83","8,22","9,14","7,74","59,12M","-3,69%"
"01.11.2023","8,13","5,16","8,50","5,08","102,45M","57,56%"
"01.10.2023","5,16","5,49","5,49","4,70","70,76M","-6,18%"
"01.09.2023","5,50","5,40","5,80","4,80","74,74M","2,80%"
"01.08.2023","5,35","5,65","6,90","5,30","109,72M","-6,14%"
"01.07.2023","5,70","5,45","6,08","4,78","87,43M","4,97%"
"01.06.2023","5,43","4,60","5,74","4,52","122,01M","18,04%"
"01.05.2023","4,60","2,78","4,63","2,64","114,84M","65,47%"
"01.04.2023","2,78","2,81","3,23","2,59","70,11M","-0,36%"
"01.03.2023","2,79","2,03","3,19","1,88","131,51M","38,12%"
"01.02.2023","2,02","2,97","3,14","1,98","68,02M","-32,21%"
"01.01.2023","2,98","2,28","3,20","2,12","157,37M","30,13%"
"01.12.2022","2,29","2,37","2,49","1,91","94,87M","-3,38%"
"01.11.2022","2,37","3,05","3,23","2,20","106,32M","-21,52%"
"01.10.2022","3,02","3,41","3,93","2,66","96,46M","-7,93%"
"01.09.2022","3,28","3,22","3,75","3,01","104,07M","1,55%"
"01.08.2022","3,23","2,81","3,95","2,75","169,27M","14,95%"
"01.07.2022","2,81","2,26","2,84","2,12","76,56M","22,17%"
"01.06.2022","2,30","3,12","3,13","2,20","77,60M","-26,05%"
"01.05.2022","3,11","4,39","4,43","2,91","126,54M","-29,00%"
