"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","23,08","18,89","23,99","18,42","14,60K","23,09%"
"01.03.2024","18,75","18,78","19,49","18,01","1,60K","-0,27%"
"01.02.2024","18,80","17,50","19,19","17,21","203,90K","7,12%"
"01.01.2024","17,55","16,19","17,66","15,94","126,50K","10,38%"
"01.12.2023","15,90","15,30","15,90","14,83","221,90K","6,71%"
"01.11.2023","14,90","14,64","15,24","14,00","96,20K","-5,70%"
"01.10.2023","15,80","13,87","16,59","13,31","96,30K","13,75%"
"01.09.2023","13,89","13,68","13,94","13,22","81,00K","2,13%"
"01.08.2023","13,60","13,65","13,80","12,50","47,10K","-0,29%"
"01.07.2023","13,64","14,00","14,00","12,95","81,60K","-2,50%"
"01.06.2023","13,99","12,60","14,05","12,37","104,20K","11,03%"
"01.05.2023","12,60","12,43","13,09","11,75","148,20K","1,54%"
"01.04.2023","12,41","11,61","12,86","11,17","68,40K","6,85%"
"01.03.2023","11,61","10,09","11,88","9,74","36,00K","16,07%"
"01.02.2023","10,01","9,81","10,38","9,52","18,60K","2,00%"
"01.01.2023","9,81","9,21","9,89","8,97","22,20K","-1,96%"
"01.12.2022","10,01","8,98","10,27","8,77","48,40K","11,44%"
"01.11.2022","8,98","9,55","9,83","8,94","63,20K","-3,83%"
"01.10.2022","9,34","9,02","10,01","9,02","165,50K","3,88%"
"01.09.2022","8,99","9,67","9,82","8,76","205,70K","-7,02%"
"01.08.2022","9,67","10,53","11,10","9,67","137,00K","-5,00%"
"01.07.2022","10,18","11,10","11,10","9,96","36,40K","-8,51%"
"01.06.2022","11,12","11,79","12,14","9,83","87,50K","-8,79%"
"01.05.2022","12,19","11,43","13,36","8,76","270,70K","14,61%"
