"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,44","10,99","11,62","10,55","8,51M","4,09%"
"01.03.2024","10,99","11,26","11,40","9,74","13,52M","-1,61%"
"01.02.2024","11,17","11,30","11,51","11,07","5,97M","0,09%"
"01.01.2024","11,16","11,25","11,72","10,98","13,25M","-0,80%"
"01.12.2023","11,25","11,13","11,32","10,48","31,95M","1,26%"
"01.11.2023","11,11","11,11","12,65","10,77","13,73M","0,91%"
"01.10.2023","11,01","13,66","13,89","10,66","13,04M","-19,34%"
"01.09.2023","13,65","13,94","14,93","13,43","16,24M","-2,08%"
"01.08.2023","13,94","13,12","14,89","12,92","11,26M","6,82%"
"01.07.2023","13,05","13,61","13,73","12,01","7,80M","-4,54%"
"01.06.2023","13,67","11,91","14,01","11,89","9,75M","13,92%"
"01.05.2023","12,00","14,00","14,71","11,77","11,61M","-15,19%"
"01.04.2023","14,15","11,78","14,42","11,70","6,33M","18,61%"
"01.03.2023","11,93","10,67","12,00","10,12","7,79M","11,81%"
"01.02.2023","10,67","11,59","11,64","10,63","6,81M","-6,81%"
"01.01.2023","11,45","11,12","11,94","10,59","9,72M","2,97%"
"01.12.2022","11,12","12,09","12,31","10,70","13,67M","-8,33%"
"01.11.2022","12,13","11,71","12,78","10,24","11,84M","4,57%"
"01.10.2022","11,60","11,22","12,42","10,42","12,36M","6,72%"
"01.09.2022","10,87","12,01","12,32","10,40","8,96M","-10,61%"
"01.08.2022","12,16","11,37","13,25","11,18","7,19M","7,80%"
"01.07.2022","11,28","10,05","11,39","9,79","23,78M","12,24%"
"01.06.2022","10,05","9,84","10,92","9,47","41,51M","2,34%"
"01.05.2022","9,82","9,19","10,24","8,27","20,61M","4,80%"
