"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,17","2,38","2,46","1,90","25,21M","-8,05%"
"01.03.2024","2,36","2,53","2,89","2,34","39,62M","-6,35%"
"01.02.2024","2,52","2,92","2,94","2,33","781,74M","-13,70%"
"01.01.2024","2,92","3,48","3,48","2,85","444,95M","-16,33%"
"01.12.2023","3,49","3,19","3,56","3,15","401,51M","8,05%"
"01.11.2023","3,23","2,41","3,26","2,39","528,64M","34,58%"
"01.10.2023","2,40","2,64","2,69","2,33","398,74M","-9,77%"
"01.09.2023","2,66","2,95","3,04","2,49","381,24M","-8,90%"
"01.08.2023","2,92","3,33","3,54","2,88","512,42M","-12,84%"
"01.07.2023","3,35","3,28","3,68","3,09","416,62M","2,76%"
"01.06.2023","3,26","2,90","3,47","2,86","642,13M","12,80%"
"01.05.2023","2,89","2,03","2,94","1,90","770,70M","41,67%"
"01.04.2023","2,04","1,86","2,10","1,75","443,87M","9,09%"
"01.03.2023","1,87","2,04","2,32","1,72","773,92M","-7,43%"
"01.02.2023","2,02","2,38","2,44","2,02","456,14M","-15,13%"
"01.01.2023","2,38","2,09","2,43","1,92","672,04M","12,26%"
"01.12.2022","2,12","2,23","2,28","1,90","611,44M","-5,36%"
"01.11.2022","2,24","3,29","3,39","2,16","844,10M","-31,91%"
"01.10.2022","3,29","2,97","3,48","2,70","1,04B","11,90%"
"01.09.2022","2,94","2,48","3,03","2,47","829,28M","18,55%"
"01.08.2022","2,48","2,25","2,79","2,23","573,58M","9,73%"
"01.07.2022","2,26","2,14","2,51","1,95","640,37M","5,61%"
"01.06.2022","2,14","2,66","2,76","2,10","617,88M","-19,25%"
"01.05.2022","2,65","2,45","2,81","2,25","755,04M","8,16%"
