"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","31,90","34,91","36,43","31,86","2,49M","-8,36%"
"01.03.2024","34,81","35,41","35,79","33,29","2,52M","-1,64%"
"01.02.2024","35,39","36,47","36,90","34,56","38,25M","-2,40%"
"01.01.2024","36,26","38,51","39,00","35,54","38,76M","-5,84%"
"01.12.2023","38,51","37,12","38,96","36,66","29,15M","3,94%"
"01.11.2023","37,05","33,66","37,39","33,59","31,03M","10,80%"
"01.10.2023","33,44","33,55","34,40","31,94","34,82M","-0,51%"
"01.09.2023","33,61","34,35","36,12","33,36","33,98M","-1,58%"
"01.08.2023","34,15","34,98","35,98","33,34","38,23M","-4,56%"
"01.07.2023","35,78","34,44","36,34","33,88","31,38M","4,04%"
"01.06.2023","34,39","30,40","34,67","29,35","59,56M","13,57%"
"01.05.2023","30,28","31,29","32,47","30,19","45,92M","-2,37%"
"01.04.2023","31,01","29,87","32,13","29,11","36,53M","4,71%"
"01.03.2023","29,62","28,35","30,40","27,06","56,26M","4,49%"
"01.02.2023","28,35","31,14","31,96","27,67","33,96M","-8,98%"
"01.01.2023","31,14","30,62","31,82","29,36","37,10M","0,24%"
"01.12.2022","31,07","32,40","32,89","27,66","40,59M","-4,87%"
"01.11.2022","32,66","32,97","34,66","30,17","38,85M","-1,47%"
"01.10.2022","33,15","32,05","33,83","30,24","54,24M","4,92%"
"01.09.2022","31,59","32,79","34,68","31,14","54,71M","-3,46%"
"01.08.2022","32,73","31,10","34,27","29,80","50,37M","6,49%"
"01.07.2022","30,73","28,90","30,81","28,31","34,94M","6,35%"
"01.06.2022","28,90","32,05","34,27","28,36","65,92M","-8,37%"
"01.05.2022","31,54","30,47","34,53","29,59","108,95M","2,55%"
