"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","8,20","8,68","8,86","8,07","11,28M","-5,20%"
"01.03.2024","8,65","9,22","9,24","8,56","1,76M","-5,77%"
"01.02.2024","9,18","9,00","9,54","8,89","96,76M","2,34%"
"01.01.2024","8,97","9,49","9,49","8,80","138,93M","-5,48%"
"01.12.2023","9,49","8,79","9,58","8,49","124,12M","7,96%"
"01.11.2023","8,79","7,86","8,92","7,82","118,37M","11,83%"
"01.10.2023","7,86","8,20","8,20","7,46","100,34M","-6,54%"
"01.09.2023","8,41","8,14","8,61","7,98","138,08M","3,83%"
"01.08.2023","8,10","8,13","8,66","8,05","203,52M","-0,98%"
"01.07.2023","8,18","8,23","8,36","7,50","28,00M","-0,61%"
"01.06.2023","8,23","6,65","8,28","6,52","31,49M","23,95%"
"01.05.2023","6,64","7,08","7,14","6,63","24,39M","-6,61%"
"01.04.2023","7,11","6,29","7,19","6,10","31,52M","13,94%"
"01.03.2023","6,24","6,32","6,38","5,83","42,53M","-1,27%"
"01.02.2023","6,32","6,89","7,02","6,21","24,94M","-8,14%"
"01.01.2023","6,88","6,85","7,00","6,51","18,09M","0,15%"
"01.12.2022","6,87","7,45","7,54","6,34","23,01M","-8,52%"
"01.11.2022","7,51","6,81","8,04","6,34","37,79M","11,42%"
"01.10.2022","6,74","6,02","6,84","5,87","20,77M","13,06%"
"01.09.2022","5,96","6,28","6,48","5,75","15,34M","-5,49%"
"01.08.2022","6,31","6,23","6,45","6,13","16,22M","1,39%"
"01.07.2022","6,22","6,12","6,24","5,87","11,90M","1,57%"
"01.06.2022","6,12","6,39","6,51","5,95","16,88M","-3,92%"
"01.05.2022","6,37","5,87","6,78","5,50","27,64M","9,61%"
