"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","11,17","13,64","14,19","10,98","6,38M","-18,05%"
"01.03.2024","13,63","12,08","13,96","11,26","11,31M","12,74%"
"01.02.2024","12,09","10,42","13,09","10,28","155,74M","16,14%"
"01.01.2024","10,41","12,32","12,50","10,17","169,24M","-16,39%"
"01.12.2023","12,45","11,34","12,80","10,89","177,68M","9,79%"
"01.11.2023","11,34","9,05","12,14","9,00","172,43M","26,42%"
"01.10.2023","8,97","8,86","10,03","8,31","171,38M","0,79%"
"01.09.2023","8,90","10,30","10,91","8,60","193,70M","-13,26%"
"01.08.2023","10,26","13,56","14,00","10,26","288,54M","-25,22%"
"01.07.2023","13,72","11,28","13,72","10,49","161,08M","22,50%"
"01.06.2023","11,20","9,43","11,90","9,32","199,07M","19,14%"
"01.05.2023","9,40","10,67","10,67","8,74","277,93M","-11,91%"
"01.04.2023","10,67","12,24","12,26","9,95","139,05M","-12,76%"
"01.03.2023","12,23","13,30","13,38","10,89","203,89M","-7,88%"
"01.02.2023","13,28","16,19","16,44","13,28","109,04M","-18,24%"
"01.01.2023","16,24","14,37","16,33","13,65","132,60M","11,30%"
"01.12.2022","14,59","15,62","15,94","13,96","103,21M","-7,00%"
"01.11.2022","15,69","19,19","19,31","15,19","158,15M","-17,93%"
"01.10.2022","19,12","19,41","20,21","17,53","114,87M","0,67%"
"01.09.2022","18,99","19,23","21,68","18,89","121,12M","-1,51%"
"01.08.2022","19,28","18,26","20,43","18,12","84,74M","6,01%"
"01.07.2022","18,19","16,12","18,28","15,46","78,48M","11,76%"
"01.06.2022","16,28","18,75","18,80","15,22","85,22M","-13,19%"
"01.05.2022","18,75","19,78","20,11","17,90","79,53M","-5,93%"
