"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","29,20","32,49","32,49","29,07","1,80K","-9,63%"
"01.03.2024","32,31","35,76","37,92","32,25","2,50K","-9,01%"
"01.02.2024","35,51","36,39","36,40","34,51","54,10K","-1,77%"
"01.01.2024","36,15","37,85","37,85","35,55","64,70K","-4,26%"
"01.12.2023","37,76","37,94","38,20","36,00","59,60K","0,88%"
"01.11.2023","37,43","40,40","42,18","37,00","98,10K","-8,69%"
"01.10.2023","40,99","48,45","48,46","39,05","60,20K","-16,23%"
"01.09.2023","48,93","38,99","48,93","38,13","113,30K","28,09%"
"01.08.2023","38,20","43,71","44,50","33,67","204,80K","-13,18%"
"01.07.2023","44,00","37,20","47,51","35,20","150,80K","17,96%"
"01.06.2023","37,30","35,75","38,29","33,96","131,00K","6,03%"
"01.05.2023","35,18","27,25","35,54","25,96","161,20K","26,09%"
"01.04.2023","27,90","24,04","29,51","23,41","106,30K","18,52%"
"01.03.2023","23,54","21,93","24,78","20,66","181,90K","7,19%"
"01.02.2023","21,96","24,11","24,46","21,36","96,90K","-8,73%"
"01.01.2023","24,06","25,26","26,25","23,44","120,90K","-4,79%"
"01.12.2022","25,28","24,84","27,90","21,97","230,30K","1,72%"
"01.11.2022","24,85","20,65","30,60","17,91","583,90K","19,29%"
"01.10.2022","20,83","20,82","21,33","20,05","153,00K","1,50%"
"01.09.2022","20,52","21,60","22,10","20,22","228,00K","-5,00%"
"01.08.2022","21,60","24,69","24,69","21,60","189,20K","-12,50%"
"01.07.2022","24,69","23,22","26,21","21,98","119,10K","7,42%"
"01.06.2022","22,98","30,39","30,63","22,77","136,80K","-22,44%"
"01.05.2022","29,63","36,66","37,88","27,20","243,80K","-20,13%"
