"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","14,50","16,37","16,40","14,09","8,76M","-10,49%"
"01.03.2024","16,20","17,08","17,13","15,84","4,35M","-4,71%"
"01.02.2024","17,00","18,35","19,08","16,89","129,76M","-6,95%"
"01.01.2024","18,27","19,38","19,89","17,48","135,58M","-5,63%"
"01.12.2023","19,36","17,75","19,64","16,77","121,50M","9,07%"
"01.11.2023","17,75","15,76","18,60","15,68","158,30M","12,70%"
"01.10.2023","15,75","17,16","17,18","15,27","139,47M","-8,11%"
"01.09.2023","17,14","17,65","18,82","16,59","114,27M","-2,17%"
"01.08.2023","17,52","19,80","20,21","17,47","138,17M","-12,14%"
"01.07.2023","19,94","17,95","20,81","17,92","162,09M","11,65%"
"01.06.2023","17,86","15,06","18,14","14,95","219,33M","19,07%"
"01.05.2023","15,00","14,59","16,32","13,71","231,08M","2,85%"
"01.04.2023","14,58","14,65","15,73","14,04","197,93M","-0,73%"
"01.03.2023","14,69","14,72","15,58","13,09","224,71M","0,73%"
"01.02.2023","14,58","16,19","16,42","14,19","161,06M","-10,30%"
"01.01.2023","16,26","16,53","17,59","14,94","216,66M","-2,45%"
"01.12.2022","16,67","17,49","17,60","15,12","168,97M","-5,05%"
"01.11.2022","17,55","16,60","18,53","15,91","252,00M","6,94%"
"01.10.2022","16,41","17,49","18,67","14,83","396,78M","-2,99%"
"01.09.2022","16,92","19,47","19,54","16,30","178,01M","-13,01%"
"01.08.2022","19,45","18,18","21,18","18,00","126,22M","7,02%"
"01.07.2022","18,18","17,62","18,52","16,01","103,77M","2,58%"
"01.06.2022","17,72","21,33","21,81","17,47","152,86M","-15,78%"
"01.05.2022","21,04","19,99","21,46","16,58","254,70M","5,26%"
