"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","13,92","15,92","16,08","13,82","5,53M","-11,34%"
"01.03.2024","15,70","16,84","17,22","15,10","6,85M","-6,66%"
"01.02.2024","16,82","17,80","19,28","16,82","141,23M","-5,13%"
"01.01.2024","17,73","19,56","19,80","16,64","137,20M","-9,82%"
"01.12.2023","19,66","16,56","19,68","16,50","121,09M","19,73%"
"01.11.2023","16,42","11,32","16,74","11,24","221,42M","39,63%"
"01.10.2023","11,76","12,13","12,22","10,75","146,21M","-3,13%"
"01.09.2023","12,14","12,30","12,82","11,79","150,42M","0,25%"
"01.08.2023","12,11","13,69","13,87","11,83","184,43M","-12,50%"
"01.07.2023","13,84","12,20","14,09","12,09","175,86M","14,10%"
"01.06.2023","12,13","12,37","13,50","12,05","206,63M","-0,16%"
"01.05.2023","12,15","13,10","13,65","11,82","181,35M","-6,49%"
"01.04.2023","12,99","14,01","15,00","12,29","142,37M","-7,97%"
"01.03.2023","14,12","15,63","16,93","12,36","239,50M","-7,38%"
"01.02.2023","15,24","16,88","16,98","14,99","116,39M","-9,89%"
"01.01.2023","16,92","13,30","17,04","13,03","212,08M","27,15%"
"01.12.2022","13,30","12,76","13,52","11,75","237,97M","3,92%"
"01.11.2022","12,80","10,24","12,99","9,91","315,04M","28,34%"
"01.10.2022","9,98","10,57","11,93","9,60","260,40M","-3,46%"
"01.09.2022","10,33","11,17","11,71","9,59","275,15M","-7,83%"
"01.08.2022","11,21","11,90","13,60","11,21","254,16M","-6,19%"
"01.07.2022","11,95","12,33","12,82","10,76","239,74M","-4,73%"
"01.06.2022","12,54","17,81","18,89","12,46","263,05M","-29,30%"
"01.05.2022","17,74","16,48","18,39","13,78","274,97M","7,18%"
