"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","17,83","20,65","21,25","17,00","71,10K","-13,24%"
"01.03.2024","20,55","19,53","21,40","19,30","53,60K","5,22%"
"01.02.2024","19,53","18,63","20,00","17,94","1,25M","5,06%"
"01.01.2024","18,59","19,56","20,18","18,40","1,60M","-5,01%"
"01.12.2023","19,57","18,71","20,02","17,63","1,09M","3,60%"
"01.11.2023","18,89","16,00","19,80","15,73","1,68M","18,06%"
"01.10.2023","16,00","15,63","16,49","14,64","1,35M","2,37%"
"01.09.2023","15,63","16,30","16,87","15,10","1,29M","-5,10%"
"01.08.2023","16,47","15,65","17,12","13,91","2,46M","3,78%"
"01.07.2023","15,87","13,15","16,43","12,53","1,46M","20,68%"
"01.06.2023","13,15","13,03","13,83","12,68","1,07M","1,01%"
"01.05.2023","13,02","11,02","13,54","10,65","1,58M","18,16%"
"01.04.2023","11,02","9,27","11,02","9,26","1,93M","18,80%"
"01.03.2023","9,27","9,89","10,20","8,25","4,56M","-6,08%"
"01.02.2023","9,88","10,53","10,81","9,58","1,02M","-6,36%"
"01.01.2023","10,55","11,35","11,49","10,09","1,72M","-7,18%"
"01.12.2022","11,36","11,60","11,88","9,99","2,34M","-2,09%"
"01.11.2022","11,60","13,60","13,92","10,66","2,19M","-16,38%"
"01.10.2022","13,88","12,95","13,99","12,32","1,99M","7,25%"
"01.09.2022","12,94","12,33","14,16","12,10","3,53M","4,00%"
"01.08.2022","12,44","13,04","13,60","11,98","3,66M","-4,59%"
"01.07.2022","13,04","11,51","13,26","11,06","2,17M","13,37%"
"01.06.2022","11,50","12,46","12,68","11,07","2,93M","-6,84%"
"01.05.2022","12,35","12,68","13,12","11,62","3,74M","-3,01%"
