"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,01","2,90","2,94","1,80","11,30M","-30,69%"
"01.03.2024","2,90","3,34","3,60","2,88","17,29M","-13,43%"
"01.02.2024","3,35","2,94","3,40","2,91","306,77M","15,12%"
"01.01.2024","2,91","3,50","3,52","2,87","441,22M","-16,86%"
"01.12.2023","3,50","3,37","4,04","3,25","398,21M","4,17%"
"01.11.2023","3,36","2,75","3,42","2,75","599,79M","22,18%"
"01.10.2023","2,75","2,56","3,12","2,35","446,22M","7,00%"
"01.09.2023","2,57","2,50","2,75","2,20","362,73M","3,63%"
"01.08.2023","2,48","2,97","3,13","2,17","599,15M","-16,78%"
"01.07.2023","2,98","3,55","3,59","2,96","338,32M","-15,10%"
"01.06.2023","3,51","3,18","4,61","3,15","670,75M","9,16%"
"01.05.2023","3,22","2,60","3,23","2,46","610,46M","24,26%"
"01.04.2023","2,59","2,93","3,26","2,40","396,04M","-12,54%"
"01.03.2023","2,96","2,93","4,07","2,62","582,06M","2,64%"
"01.02.2023","2,88","4,28","4,50","2,88","307,77M","-32,67%"
"01.01.2023","4,28","4,22","4,95","3,77","478,63M","0,22%"
"01.12.2022","4,27","4,79","4,95","3,46","466,93M","-10,74%"
"01.11.2022","4,79","6,85","7,29","4,42","382,01M","-29,85%"
"01.10.2022","6,82","6,23","6,88","5,86","279,03M","13,63%"
"01.09.2022","6,00","7,18","7,88","5,70","393,15M","-17,30%"
"01.08.2022","7,26","6,63","8,12","6,43","368,30M","9,47%"
"01.07.2022","6,63","6,66","7,18","6,02","273,84M","-0,14%"
"01.06.2022","6,64","10,46","10,46","6,54","323,27M","-36,08%"
"01.05.2022","10,39","12,02","13,04","10,17","243,07M","-17,65%"
