"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","20,30","25,01","25,22","20,30","7,18M","-18,60%"
"01.03.2024","24,94","24,02","25,78","23,51","4,91M","3,70%"
"01.02.2024","24,05","22,45","24,15","21,62","78,58M","7,56%"
"01.01.2024","22,36","23,93","23,97","21,30","124,68M","-7,14%"
"01.12.2023","24,08","21,64","25,06","21,05","108,68M","10,26%"
"01.11.2023","21,84","18,18","21,95","17,86","126,02M","21,40%"
"01.10.2023","17,99","20,20","20,20","17,44","110,31M","-11,25%"
"01.09.2023","20,27","22,65","23,10","19,47","118,95M","-9,67%"
"01.08.2023","22,44","23,61","25,90","22,38","132,56M","-5,79%"
"01.07.2023","23,82","20,21","24,22","19,46","125,03M","18,33%"
"01.06.2023","20,13","18,81","20,45","18,62","143,59M","7,76%"
"01.05.2023","18,68","14,80","19,15","14,25","128,48M","25,11%"
"01.04.2023","14,93","13,50","15,69","13,10","91,02M","9,73%"
"01.03.2023","13,61","14,56","16,20","12,57","134,78M","-6,01%"
"01.02.2023","14,48","14,65","15,33","13,37","160,72M","-1,32%"
"01.01.2023","14,67","12,46","14,81","11,83","156,24M","16,14%"
"01.12.2022","12,63","13,88","14,52","11,19","176,09M","-8,98%"
"01.11.2022","13,88","18,15","18,27","12,27","206,82M","-22,80%"
"01.10.2022","17,97","18,46","19,94","16,05","209,88M","1,36%"
"01.09.2022","17,73","13,74","17,90","13,74","235,38M","29,59%"
"01.08.2022","13,68","12,21","15,16","12,01","149,17M","12,11%"
"01.07.2022","12,21","11,36","13,06","11,25","110,77M","6,85%"
"01.06.2022","11,42","13,22","13,48","11,16","136,32M","-13,41%"
"01.05.2022","13,19","13,67","14,87","13,16","132,92M","-3,53%"
