"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","4,70","6,32","6,32","4,12","364,80K","-23,33%"
"01.03.2024","6,13","7,75","8,29","6,03","299,60K","-22,60%"
"01.02.2024","7,92","8,13","8,24","6,87","7,91M","-1,61%"
"01.01.2024","8,05","9,85","9,85","8,00","6,26M","-16,32%"
"01.12.2023","9,62","8,95","10,30","8,91","5,56M","4,68%"
"01.11.2023","9,19","9,70","10,97","9,05","9,01M","-5,16%"
"01.10.2023","9,69","12,40","12,75","9,00","11,26M","-21,67%"
"01.09.2023","12,37","11,11","13,56","10,21","24,66M","12,25%"
"01.08.2023","11,02","13,45","14,21","10,40","19,78M","-18,07%"
"01.07.2023","13,45","11,86","13,95","10,82","10,31M","13,69%"
"01.06.2023","11,83","10,79","12,60","9,56","20,31M","9,94%"
"01.05.2023","10,76","8,20","11,99","8,10","14,81M","27,34%"
"01.04.2023","8,45","7,43","9,15","6,57","11,02M","13,12%"
"01.03.2023","7,47","9,25","9,37","6,66","8,34M","-19,16%"
"01.02.2023","9,24","10,90","11,44","9,20","4,36M","-15,77%"
"01.01.2023","10,97","13,66","13,69","10,80","6,19M","-20,10%"
"01.12.2022","13,73","15,30","15,40","12,17","8,18M","-10,16%"
"01.11.2022","15,28","19,21","20,51","15,11","4,13M","-23,17%"
"01.10.2022","19,89","18,94","21,11","17,90","3,90M","6,20%"
"01.09.2022","18,73","20,64","22,75","18,48","10,83M","-10,19%"
"01.08.2022","20,85","19,05","23,80","18,69","7,34M","9,49%"
"01.07.2022","19,05","15,18","19,21","14,24","4,21M","25,44%"
"01.06.2022","15,18","18,70","20,20","14,96","4,15M","-18,67%"
"01.05.2022","18,67","22,44","22,64","16,35","7,67M","-17,22%"
