"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","10,69","11,49","11,99","10,31","44,00K","-9,02%"
"01.03.2024","11,75","13,30","13,33","11,63","39,70K","-10,51%"
"01.02.2024","13,13","11,85","13,30","11,50","1,57M","10,90%"
"01.01.2024","11,84","11,80","12,00","10,76","3,19M","1,89%"
"01.12.2023","11,62","11,10","12,32","10,89","2,66M","3,75%"
"01.11.2023","11,20","9,49","12,05","9,44","1,55M","17,15%"
"01.10.2023","9,56","10,66","11,12","9,35","1,23M","-10,82%"
"01.09.2023","10,72","10,97","11,77","10,20","1,59M","-2,81%"
"01.08.2023","11,03","9,05","11,48","9,05","1,99M","22,15%"
"01.07.2023","9,03","9,31","9,70","8,80","914,60K","-4,55%"
"01.06.2023","9,46","10,02","10,33","9,10","1,47M","-5,31%"
"01.05.2023","9,99","8,91","10,25","8,50","2,04M","7,30%"
"01.04.2023","9,31","7,44","9,31","7,26","2,86M","25,67%"
"01.03.2023","7,41","7,63","7,92","6,64","2,06M","-1,97%"
"01.02.2023","7,56","8,29","8,62","7,41","1,65M","-8,07%"
"01.01.2023","8,22","6,69","8,22","6,45","3,10M","20,46%"
"01.12.2022","6,82","6,95","7,28","6,33","2,60M","-1,43%"
"01.11.2022","6,92","8,20","9,13","6,61","3,49M","-14,44%"
"01.10.2022","8,09","6,03","9,53","5,98","7,48M","36,17%"
"01.09.2022","5,94","6,96","6,98","5,80","5,51M","-13,67%"
"01.08.2022","6,88","7,92","8,61","6,65","7,49M","-11,80%"
"01.07.2022","7,80","7,30","8,11","6,78","4,32M","7,95%"
"01.06.2022","7,23","9,24","9,53","7,19","5,76M","-21,76%"
"01.05.2022","9,24","7,34","9,75","6,90","8,01M","27,11%"
