"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","23,32","25,70","25,77","22,02","2,61M","-9,01%"
"01.03.2024","25,63","23,67","25,74","23,54","2,05M","8,28%"
"01.02.2024","23,67","21,93","24,14","21,25","33,78M","8,63%"
"01.01.2024","21,79","22,35","22,49","20,78","34,55M","-2,68%"
"01.12.2023","22,39","19,48","22,62","19,04","39,63M","12,23%"
"01.11.2023","19,95","17,36","20,88","17,10","47,00M","14,92%"
"01.10.2023","17,36","19,07","19,08","16,40","49,66M","-9,49%"
"01.09.2023","19,18","20,50","20,97","17,21","50,32M","-5,28%"
"01.08.2023","20,25","21,09","22,48","19,84","43,18M","-4,03%"
"01.07.2023","21,10","19,71","21,29","18,19","59,26M","7,38%"
"01.06.2023","19,65","17,46","20,25","17,29","53,25M","12,88%"
"01.05.2023","17,41","15,50","17,78","14,45","49,88M","11,27%"
"01.04.2023","15,64","15,94","17,31","14,39","43,05M","-1,75%"
"01.03.2023","15,92","15,51","17,47","14,45","53,19M","3,83%"
"01.02.2023","15,33","15,93","16,36","14,52","35,10M","-3,63%"
"01.01.2023","15,91","15,35","16,16","14,10","41,16M","2,11%"
"01.12.2022","15,58","14,03","16,24","12,56","58,43M","11,09%"
"01.11.2022","14,03","16,58","17,03","11,76","62,53M","-13,50%"
"01.10.2022","16,22","16,11","17,45","14,75","44,99M","1,54%"
"01.09.2022","15,97","12,25","16,08","12,25","44,56M","30,12%"
"01.08.2022","12,27","11,23","12,80","10,67","39,05M","9,37%"
"01.07.2022","11,22","9,22","11,26","9,19","33,90M","19,67%"
"01.06.2022","9,38","10,06","10,31","8,23","35,11M","-6,27%"
"01.05.2022","10,00","10,46","10,76","8,90","35,69M","-4,35%"
