"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,12","6,75","8,33","6,59","133,10K","5,48%"
"01.03.2024","6,75","5,89","7,04","5,71","62,00K","14,41%"
"01.02.2024","5,90","6,01","6,22","5,50","1,53M","-2,80%"
"01.01.2024","6,07","5,84","6,13","5,51","1,28M","2,36%"
"01.12.2023","5,93","5,20","5,95","5,15","1,28M","14,04%"
"01.11.2023","5,20","4,18","5,34","4,02","1,05M","25,91%"
"01.10.2023","4,13","4,89","4,95","4,12","503,20K","-14,32%"
"01.09.2023","4,82","5,28","5,28","4,82","869,70K","-8,88%"
"01.08.2023","5,29","4,71","5,29","4,65","1,71M","12,31%"
"01.07.2023","4,71","4,75","5,48","4,60","1,70M","0,21%"
"01.06.2023","4,70","4,49","4,85","4,40","1,02M","5,86%"
"01.05.2023","4,44","3,32","4,49","3,28","1,22M","32,93%"
"01.04.2023","3,34","3,35","3,45","3,20","532,70K","-2,91%"
"01.03.2023","3,44","3,74","3,78","3,18","1,21M","-7,28%"
"01.02.2023","3,71","3,93","4,04","3,53","812,00K","-4,87%"
"01.01.2023","3,90","4,00","4,14","3,85","952,10K","-4,65%"
"01.12.2022","4,09","4,16","4,29","3,56","458,80K","-3,54%"
"01.11.2022","4,24","4,75","4,98","3,79","1,53M","-11,11%"
"01.10.2022","4,77","4,60","5,03","4,44","934,40K","4,61%"
"01.09.2022","4,56","4,92","5,50","4,31","3,13M","-7,32%"
"01.08.2022","4,92","4,25","5,10","4,21","1,36M","16,04%"
"01.07.2022","4,24","4,00","4,77","3,91","2,39M","5,74%"
"01.06.2022","4,01","4,37","4,77","3,56","2,07M","-6,53%"
"01.05.2022","4,29","4,54","4,54","3,77","1,11M","-4,67%"
