"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,23","7,67","8,02","6,93","2,77M","-5,86%"
"01.03.2024","7,68","8,17","8,53","7,55","3,54M","-5,65%"
"01.02.2024","8,14","7,76","8,34","7,23","62,21M","5,17%"
"01.01.2024","7,74","8,00","8,19","7,33","67,06M","-4,09%"
"01.12.2023","8,07","7,12","8,36","7,01","58,12M","11,16%"
"01.11.2023","7,26","6,93","7,60","6,42","116,72M","5,83%"
"01.10.2023","6,86","7,70","7,72","6,48","103,85M","-10,91%"
"01.09.2023","7,70","8,00","8,48","7,45","96,66M","-3,27%"
"01.08.2023","7,96","8,38","9,57","7,82","94,79M","-4,90%"
"01.07.2023","8,37","8,35","8,51","7,38","76,78M","0,24%"
"01.06.2023","8,35","8,86","9,55","7,62","91,26M","-5,65%"
"01.05.2023","8,85","5,86","8,93","5,67","116,63M","50,25%"
"01.04.2023","5,89","5,91","6,27","5,50","87,84M","0,17%"
"01.03.2023","5,88","6,53","7,27","5,36","203,97M","-9,82%"
"01.02.2023","6,52","7,55","7,59","6,29","82,33M","-13,53%"
"01.01.2023","7,54","6,69","7,59","6,39","101,64M","11,21%"
"01.12.2022","6,78","7,19","7,19","6,17","118,48M","-6,37%"
"01.11.2022","7,24","8,52","9,32","6,97","100,44M","-13,83%"
"01.10.2022","8,40","8,31","8,90","7,40","94,33M","3,64%"
"01.09.2022","8,11","8,51","9,44","7,69","81,40M","-4,98%"
"01.08.2022","8,53","8,41","10,02","8,03","96,37M","0,92%"
"01.07.2022","8,46","8,57","8,74","7,83","68,25M","-1,22%"
"01.06.2022","8,56","9,72","10,26","8,35","77,46M","-11,95%"
"01.05.2022","9,72","11,00","11,57","9,45","77,80M","-12,90%"
