"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,25","8,01","8,26","7,19","4,87M","-11,04%"
"01.03.2024","8,15","9,18","9,60","8,12","3,24M","-11,22%"
"01.02.2024","9,18","9,05","9,46","8,56","49,33M","1,21%"
"01.01.2024","9,07","9,34","9,57","8,77","57,00M","-3,72%"
"01.12.2023","9,42","8,70","9,87","8,57","66,53M","8,90%"
"01.11.2023","8,65","6,97","8,73","6,91","77,63M","23,22%"
"01.10.2023","7,02","7,77","7,97","6,87","76,29M","-9,30%"
"01.09.2023","7,74","7,57","8,04","7,03","94,94M","2,52%"
"01.08.2023","7,55","8,28","8,65","7,42","86,95M","-8,04%"
"01.07.2023","8,21","6,50","8,38","6,02","121,67M","26,31%"
"01.06.2023","6,50","6,31","7,32","6,24","120,30M","1,56%"
"01.05.2023","6,40","6,20","7,15","5,84","125,92M","3,73%"
"01.04.2023","6,17","5,21","6,54","5,01","128,84M","19,11%"
"01.03.2023","5,18","4,10","5,63","3,88","145,48M","26,34%"
"01.02.2023","4,10","4,56","4,81","3,81","101,26M","-9,69%"
"01.01.2023","4,54","4,38","4,89","3,96","100,20M","2,02%"
"01.12.2022","4,45","4,34","4,80","3,91","109,03M","2,26%"
"01.11.2022","4,35","5,44","5,89","4,15","125,86M","-19,85%"
"01.10.2022","5,43","5,09","5,72","4,95","83,26M","9,46%"
"01.09.2022","4,96","5,87","6,62","4,78","176,88M","-15,19%"
"01.08.2022","5,85","5,69","6,62","5,44","108,20M","2,99%"
"01.07.2022","5,68","5,69","5,89","5,07","81,78M","-0,18%"
"01.06.2022","5,69","7,38","7,42","5,54","93,61M","-22,66%"
"01.05.2022","7,36","6,90","7,43","5,43","136,50M","6,66%"
