"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","40,90","40,26","42,84","39,15","1,61M","1,59%"
"01.03.2024","40,26","41,97","42,19","39,98","1,18M","-4,19%"
"01.02.2024","42,02","40,58","42,31","39,46","35,60M","3,55%"
"01.01.2024","40,58","44,70","44,87","40,01","29,25M","-10,48%"
"01.12.2023","45,33","43,53","45,44","42,90","31,06M","4,21%"
"01.11.2023","43,50","39,41","44,77","39,41","41,65M","10,69%"
"01.10.2023","39,30","41,30","42,04","39,21","25,30M","-5,14%"
"01.09.2023","41,43","42,37","43,41","40,54","26,37M","-1,64%"
"01.08.2023","42,12","42,89","43,61","40,19","37,15M","-4,36%"
"01.07.2023","44,04","45,60","45,90","43,51","23,47M","-3,61%"
"01.06.2023","45,69","42,15","46,00","41,82","32,98M","8,71%"
"01.05.2023","42,03","39,69","44,47","39,10","41,44M","6,30%"
"01.04.2023","39,54","38,51","39,78","37,49","26,85M","2,64%"
"01.03.2023","38,52","37,67","40,51","37,36","49,68M","2,27%"
"01.02.2023","37,67","37,58","38,15","35,71","36,82M","-0,18%"
"01.01.2023","37,73","36,28","37,99","34,94","35,89M","3,88%"
"01.12.2022","36,32","37,63","39,03","34,74","38,69M","-3,48%"
"01.11.2022","37,63","37,83","39,30","36,26","38,64M","-0,35%"
"01.10.2022","37,77","36,61","38,39","35,71","36,76M","4,44%"
"01.09.2022","36,16","38,33","38,47","35,79","36,81M","-4,91%"
"01.08.2022","38,03","40,93","41,45","37,61","46,84M","-7,09%"
"01.07.2022","40,93","37,96","41,07","37,25","30,10M","7,31%"
"01.06.2022","38,14","40,56","40,58","37,30","36,36M","-5,92%"
"01.05.2022","40,55","37,97","41,85","37,42","31,86M","6,49%"
