"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","41,56","46,87","47,11","40,98","2,74M","-10,87%"
"01.03.2024","46,63","48,11","49,23","45,44","2,26M","-2,67%"
"01.02.2024","47,91","45,80","49,41","44,92","27,13M","4,52%"
"01.01.2024","45,84","46,98","49,39","45,01","24,25M","-2,43%"
"01.12.2023","46,98","44,69","47,57","44,29","18,58M","4,70%"
"01.11.2023","44,87","38,48","45,61","38,48","30,22M","16,70%"
"01.10.2023","38,45","40,37","40,87","37,44","29,38M","-4,71%"
"01.09.2023","40,35","38,83","40,73","37,03","38,46M","4,16%"
"01.08.2023","38,74","43,11","43,44","36,99","62,78M","-11,21%"
"01.07.2023","43,63","44,79","45,03","41,99","27,73M","-2,00%"
"01.06.2023","44,52","39,66","45,53","38,81","46,26M","12,99%"
"01.05.2023","39,40","37,11","40,69","35,82","71,88M","8,21%"
"01.04.2023","36,41","34,81","38,19","34,15","53,92M","4,43%"
"01.03.2023","34,87","34,64","36,13","31,35","73,70M","0,86%"
"01.02.2023","34,57","40,76","41,38","34,27","49,83M","-15,30%"
"01.01.2023","40,81","40,36","43,13","39,53","48,04M","-1,76%"
"01.12.2022","41,54","47,02","47,91","40,17","50,87M","-11,92%"
"01.11.2022","47,17","51,45","53,93","43,73","68,99M","-7,95%"
"01.10.2022","51,24","44,75","51,70","43,73","73,12M","18,10%"
"01.09.2022","43,39","46,13","47,00","42,03","56,02M","-5,74%"
"01.08.2022","46,03","45,55","50,18","45,19","74,01M","1,20%"
"01.07.2022","45,49","44,67","46,09","40,94","58,36M","1,35%"
"01.06.2022","44,88","40,28","45,20","37,19","132,19M","12,18%"
"01.05.2022","40,01","38,34","42,71","35,73","96,53M","3,69%"
