"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","57,70","69,98","82,00","49,58","4,60K","-17,55%"
"01.03.2024","69,98","66,48","89,00","59,00","9,50K","7,61%"
"01.02.2024","65,03","56,69","66,00","55,71","49,60K","15,61%"
"01.01.2024","56,25","58,96","59,35","55,90","43,60K","-4,66%"
"01.12.2023","59,00","58,15","59,50","55,01","88,20K","-0,86%"
"01.11.2023","59,51","59,39","62,93","55,06","147,00K","0,02%"
"01.10.2023","59,50","68,25","68,25","59,00","84,10K","-11,85%"
"01.09.2023","67,50","60,49","68,10","60,33","43,10K","11,59%"
"01.08.2023","60,49","64,59","66,00","56,52","78,90K","-5,87%"
"01.07.2023","64,26","65,27","71,98","63,04","78,80K","0,41%"
"01.06.2023","64,00","61,01","69,00","57,05","65,70K","1,67%"
"01.05.2023","62,95","56,79","63,97","52,11","50,80K","12,41%"
"01.04.2023","56,00","39,70","64,51","36,83","75,30K","42,78%"
"01.03.2023","39,22","48,52","48,52","39,08","55,40K","-17,31%"
"01.02.2023","47,43","60,04","60,96","43,58","97,30K","-20,36%"
"01.01.2023","59,56","65,84","65,84","58,42","100,50K","-9,55%"
"01.12.2022","65,84","41,64","68,27","40,19","157,00K","58,12%"
"01.11.2022","41,64","45,27","45,42","36,80","56,40K","-6,52%"
"01.10.2022","44,55","40,67","46,49","40,67","126,90K","12,22%"
"01.09.2022","39,69","33,89","41,16","33,22","103,90K","13,92%"
"01.08.2022","34,84","32,98","38,67","32,93","92,50K","5,82%"
"01.07.2022","32,93","32,05","36,80","31,01","74,00K","-0,87%"
"01.06.2022","33,22","33,42","37,82","28,86","103,00K","-1,97%"
"01.05.2022","33,88","34,21","39,70","27,18","252,60K","-0,35%"
