"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","33,35","33,51","33,83","30,56","7,13M","0,12%"
"01.03.2024","33,31","24,93","33,88","24,72","9,40M","36,35%"
"01.02.2024","24,43","22,69","24,43","21,45","111,11M","7,24%"
"01.01.2024","22,78","22,39","23,25","20,82","117,91M","1,74%"
"01.12.2023","22,39","21,55","24,66","21,54","169,05M","4,14%"
"01.11.2023","21,50","17,58","21,62","17,58","122,52M","22,23%"
"01.10.2023","17,59","17,18","18,29","16,22","112,67M","2,15%"
"01.09.2023","17,22","19,59","20,17","16,55","127,40M","-11,65%"
"01.08.2023","19,49","18,43","19,69","17,24","163,10M","5,29%"
"01.07.2023","18,51","18,40","18,89","16,96","110,41M","-0,16%"
"01.06.2023","18,54","18,96","20,88","16,86","225,37M","-2,52%"
"01.05.2023","19,02","19,36","19,51","16,11","240,21M","-2,06%"
"01.04.2023","19,42","20,76","21,04","18,71","144,80M","-6,59%"
"01.03.2023","20,79","16,63","21,27","16,44","246,01M","25,32%"
"01.02.2023","16,59","16,45","17,25","15,78","121,25M","1,47%"
"01.01.2023","16,35","14,16","17,08","13,91","157,15M","14,26%"
"01.12.2022","14,31","13,72","14,43","12,88","142,40M","5,61%"
"01.11.2022","13,55","13,80","14,65","12,66","182,00M","-1,45%"
"01.10.2022","13,75","11,91","13,83","11,39","137,03M","18,03%"
"01.09.2022","11,65","13,79","14,12","11,57","143,89M","-15,70%"
"01.08.2022","13,82","11,75","15,39","11,65","136,45M","17,62%"
"01.07.2022","11,75","11,39","12,26","10,75","126,94M","2,71%"
"01.06.2022","11,44","12,78","13,75","11,03","155,45M","-10,20%"
"01.05.2022","12,74","14,21","14,69","11,81","209,19M","-10,34%"
