"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","27,32","29,66","29,66","25,72","2,05M","-7,45%"
"01.03.2024","29,52","25,50","29,98","24,60","2,79M","15,86%"
"01.02.2024","25,48","19,09","25,75","18,07","41,56M","34,67%"
"01.01.2024","18,92","20,14","20,21","18,19","45,01M","-5,82%"
"01.12.2023","20,09","15,42","20,64","14,29","48,99M","29,70%"
"01.11.2023","15,49","17,43","18,27","15,28","33,37M","-11,13%"
"01.10.2023","17,43","18,05","18,57","15,74","33,30M","-3,17%"
"01.09.2023","18,00","15,72","18,23","15,46","34,16M","14,72%"
"01.08.2023","15,69","13,95","16,35","12,93","38,21M","12,47%"
"01.07.2023","13,95","13,70","14,44","12,49","35,47M","1,53%"
"01.06.2023","13,74","12,72","14,90","12,38","31,90M","7,60%"
"01.05.2023","12,77","11,39","14,03","10,27","44,14M","10,56%"
"01.04.2023","11,55","11,76","12,80","10,91","23,43M","1,94%"
"01.03.2023","11,33","13,74","13,84","10,54","38,47M","-17,78%"
"01.02.2023","13,78","15,09","15,21","13,58","18,96M","-8,44%"
"01.01.2023","15,05","13,32","15,70","12,36","24,56M","11,48%"
"01.12.2022","13,50","13,44","13,78","11,71","29,50M","0,75%"
"01.11.2022","13,40","15,45","16,19","13,05","34,97M","-12,07%"
"01.10.2022","15,24","14,93","16,40","14,17","26,05M","4,96%"
"01.09.2022","14,52","16,64","17,54","13,85","28,72M","-13,11%"
"01.08.2022","16,71","18,40","19,18","15,39","33,93M","-9,82%"
"01.07.2022","18,53","17,45","18,80","15,19","29,08M","5,46%"
"01.06.2022","17,57","23,88","24,38","16,90","46,58M","-25,49%"
"01.05.2022","23,58","20,58","24,09","18,83","61,72M","14,24%"
