"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","12,38","12,75","13,22","11,92","8,32M","-3,36%"
"01.03.2024","12,81","12,89","13,07","11,97","5,01M","-0,16%"
"01.02.2024","12,83","12,80","13,24","11,91","169,51M","0,55%"
"01.01.2024","12,76","13,51","13,70","12,26","131,27M","-6,25%"
"01.12.2023","13,61","12,69","13,74","12,21","132,81M","7,25%"
"01.11.2023","12,69","10,85","13,70","10,62","235,56M","17,28%"
"01.10.2023","10,82","12,05","12,10","10,69","154,40M","-10,28%"
"01.09.2023","12,06","11,98","12,56","11,63","130,49M","1,17%"
"01.08.2023","11,92","13,32","13,67","11,92","119,65M","-10,85%"
"01.07.2023","13,37","12,29","13,49","11,93","125,63M","8,96%"
"01.06.2023","12,27","11,48","12,66","11,34","238,55M","7,16%"
"01.05.2023","11,45","11,26","12,30","10,92","170,39M","0,88%"
"01.04.2023","11,35","10,41","11,76","10,12","132,08M","8,40%"
"01.03.2023","10,47","11,10","12,08","9,90","248,00M","-8,40%"
"01.02.2023","11,43","11,95","12,57","10,96","274,39M","-4,75%"
"01.01.2023","12,00","11,76","13,15","10,96","210,73M","0,59%"
"01.12.2022","11,93","12,22","12,55","10,94","224,45M","-3,32%"
"01.11.2022","12,34","14,28","14,46","11,96","201,68M","-12,98%"
"01.10.2022","14,18","14,28","14,76","13,14","230,51M","0,21%"
"01.09.2022","14,15","15,57","16,42","13,93","242,36M","-8,71%"
"01.08.2022","15,50","15,03","16,15","14,81","136,66M","1,91%"
"01.07.2022","15,21","14,62","15,69","14,09","150,32M","2,98%"
"01.06.2022","14,77","15,70","15,93","13,36","247,81M","-5,20%"
"01.05.2022","15,58","13,54","15,94","12,82","153,51M","13,56%"
