"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","14,40","15,45","15,76","13,78","17,60K","-6,13%"
"01.03.2024","15,34","16,38","16,75","14,95","3,80K","-6,52%"
"01.02.2024","16,41","16,29","18,15","16,03","116,50K","0,67%"
"01.01.2024","16,30","17,88","19,03","16,21","110,55K","-12,18%"
"01.12.2023","18,56","17,96","18,85","16,79","89,30K","3,34%"
"01.11.2023","17,96","16,35","18,35","16,03","106,40K","12,60%"
"01.10.2023","15,95","15,03","17,00","14,23","129,00K","6,12%"
"01.09.2023","15,03","15,05","16,13","14,40","100,50K","0,13%"
"01.08.2023","15,01","14,82","16,38","13,87","146,70K","-0,60%"
"01.07.2023","15,10","14,37","15,55","14,01","93,20K","3,64%"
"01.06.2023","14,57","13,00","15,24","12,62","256,90K","10,30%"
"01.05.2023","13,21","12,98","13,61","12,21","158,60K","3,61%"
"01.04.2023","12,75","12,65","13,35","11,26","187,50K","0,79%"
"01.03.2023","12,65","12,03","13,21","10,94","302,50K","4,34%"
"01.02.2023","12,12","13,11","13,60","11,61","207,60K","-8,41%"
"01.01.2023","13,24","13,86","14,78","12,32","419,20K","-4,41%"
"01.12.2022","13,85","13,35","14,49","12,30","78,90K","3,77%"
"01.11.2022","13,35","14,71","15,36","12,63","100,40K","-9,91%"
"01.10.2022","14,81","12,88","15,03","12,86","128,90K","18,35%"
"01.09.2022","12,52","13,54","13,79","12,45","123,80K","-6,41%"
"01.08.2022","13,38","13,72","15,29","12,82","272,40K","-6,65%"
"01.07.2022","14,33","12,79","14,56","11,53","142,70K","12,13%"
"01.06.2022","12,78","14,03","14,46","12,42","150,10K","-8,97%"
"01.05.2022","14,04","15,07","15,65","12,86","112,10K","-8,46%"
