"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","2,14","1,76","2,30","1,74","27,69M","20,90%"
"01.03.2024","1,77","1,74","1,89","1,53","13,59M","2,31%"
"01.02.2024","1,73","1,69","1,73","1,48","9,51M","0,58%"
"01.01.2024","1,72","1,65","1,94","1,56","15,63M","1,78%"
"01.12.2023","1,69","1,57","1,87","1,46","17,83M","7,64%"
"01.11.2023","1,57","1,39","1,79","1,36","8,51M","12,95%"
"01.10.2023","1,39","1,49","1,56","1,28","6,09M","-6,71%"
"01.09.2023","1,49","1,57","1,65","1,30","8,82M","-3,25%"
"01.08.2023","1,54","1,69","1,77","1,49","21,23M","-9,41%"
"01.07.2023","1,70","1,37","1,87","1,23","54,99M","25,93%"
"01.06.2023","1,35","1,20","1,49","1,17","27,17M","12,50%"
"01.05.2023","1,20","0,90","1,29","0,87","29,26M","33,33%"
"01.04.2023","0,90","0,90","1,10","0,81","33,34M","0,00%"
"01.03.2023","0,90","0,75","0,97","0,70","27,58M","21,62%"
"01.02.2023","0,74","1,05","1,13","0,73","19,67M","-29,52%"
"01.01.2023","1,05","0,95","1,20","0,91","21,04M","8,25%"
"01.12.2022","0,97","1,01","1,02","0,87","25,61M","-3,96%"
"01.11.2022","1,01","1,24","1,38","0,97","26,27M","-17,89%"
"01.10.2022","1,23","1,27","1,52","1,08","21,01M","-3,91%"
"01.09.2022","1,28","1,42","1,60","1,20","31,43M","-9,86%"
"01.08.2022","1,42","1,17","1,66","1,13","52,52M","23,48%"
"01.07.2022","1,15","1,03","1,27","0,97","42,16M","12,75%"
"01.06.2022","1,02","1,99","2,00","1,02","63,19M","-49,00%"
"01.05.2022","2,00","2,00","2,37","1,80","50,45M","0,50%"
