"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,60","8,25","8,32","7,32","1,10K","-7,88%"
"01.03.2024","8,25","9,56","9,68","7,35","7,80K","-14,06%"
"01.02.2024","9,60","9,51","9,83","9,35","190,80K","0,52%"
"01.01.2024","9,55","11,80","11,80","9,35","629,70K","-17,74%"
"01.12.2023","11,61","8,47","14,90","8,26","683,90K","7,00%"
"01.11.2023","10,85","14,15","16,45","10,35","107,40K","-25,22%"
"01.10.2023","14,51","15,50","16,85","14,10","17,60K","-10,15%"
"01.09.2023","16,15","15,97","18,34","13,11","106,30K","1,06%"
"01.08.2023","15,98","11,69","16,13","11,07","71,40K","42,68%"
"01.07.2023","11,20","11,79","12,99","11,00","32,30K","-10,18%"
"01.06.2023","12,47","12,49","13,49","11,45","22,60K","-0,72%"
"01.05.2023","12,56","11,22","13,19","11,01","11,60K","6,19%"
"01.04.2023","11,83","9,04","13,67","8,91","20,60K","30,44%"
"01.03.2023","9,07","8,83","10,41","8,36","16,80K","-1,67%"
"01.02.2023","9,22","8,97","9,41","8,42","13,50K","10,64%"
"01.01.2023","8,33","8,56","8,98","8,22","39,70K","-5,54%"
"01.12.2022","8,82","9,76","9,86","8,51","15,00K","-9,64%"
"01.11.2022","9,76","10,22","10,38","9,05","32,50K","2,86%"
"01.10.2022","9,49","10,33","10,75","9,42","30,90K","-9,02%"
"01.09.2022","10,43","10,42","11,76","10,14","21,00K","-0,69%"
"01.08.2022","10,51","10,86","12,67","10,18","34,30K","-1,61%"
"01.07.2022","10,68","10,91","11,45","10,39","10,00K","-2,56%"
"01.06.2022","10,96","13,12","13,85","10,96","17,80K","-13,81%"
"01.05.2022","12,71","14,44","15,81","12,23","44,60K","-13,55%"
