"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","8,23","8,01","8,35","7,49","8,20K","3,65%"
"01.03.2024","7,94","8,10","8,30","7,25","5,90K","-0,75%"
"01.02.2024","8,00","8,01","8,20","7,55","66,60K","0,00%"
"01.01.2024","8,00","7,62","8,47","7,25","119,80K","4,99%"
"01.12.2023","7,62","7,54","9,01","7,20","268,60K","1,46%"
"01.11.2023","7,51","6,34","7,59","6,01","291,30K","19,78%"
"01.10.2023","6,27","6,38","6,45","6,00","59,60K","-2,18%"
"01.09.2023","6,41","6,01","6,49","6,01","57,10K","3,89%"
"01.08.2023","6,17","6,03","6,40","6,00","74,30K","2,32%"
"01.07.2023","6,03","5,80","6,33","5,66","68,10K","3,97%"
"01.06.2023","5,80","6,12","6,42","5,65","814,00K","-4,92%"
"01.05.2023","6,10","6,02","6,53","5,80","197,10K","0,45%"
"01.04.2023","6,07","5,80","6,49","5,78","24,20K","5,25%"
"01.03.2023","5,77","5,70","6,42","5,56","383,00K","0,85%"
"01.02.2023","5,72","6,16","6,25","5,60","190,00K","-8,15%"
"01.01.2023","6,23","6,21","6,64","6,16","78,30K","0,31%"
"01.12.2022","6,21","6,40","6,69","5,97","983,40K","-2,75%"
"01.11.2022","6,38","6,11","6,63","5,51","865,80K","6,66%"
"01.10.2022","5,99","5,63","6,13","5,40","188,10K","6,37%"
"01.09.2022","5,63","5,46","5,90","5,29","52,70K","3,04%"
"01.08.2022","5,46","4,35","5,66","4,24","134,90K","25,00%"
"01.07.2022","4,37","4,25","4,61","3,94","45,90K","2,88%"
"01.06.2022","4,25","4,44","4,77","3,85","143,70K","-5,45%"
"01.05.2022","4,49","5,09","5,11","4,39","384,70K","-11,99%"
