"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","30,59","32,20","32,90","30,45","5,63M","-6,02%"
"01.03.2024","32,55","34,17","34,17","32,01","4,55M","-4,77%"
"01.02.2024","34,18","35,66","36,34","33,22","130,96M","-3,53%"
"01.01.2024","35,43","35,72","35,86","33,74","161,36M","-0,81%"
"01.12.2023","35,72","34,01","35,80","33,70","143,10M","4,87%"
"01.11.2023","34,06","31,62","35,06","31,61","147,87M","7,78%"
"01.10.2023","31,60","31,95","32,95","29,88","134,42M","-1,43%"
"01.09.2023","32,06","31,99","34,34","30,69","154,88M","1,26%"
"01.08.2023","31,66","33,55","33,66","31,22","158,49M","-5,61%"
"01.07.2023","33,54","32,15","34,87","32,02","165,90M","4,32%"
"01.06.2023","32,15","28,16","32,55","27,26","269,31M","14,21%"
"01.05.2023","28,15","26,99","29,72","25,88","179,78M","4,42%"
"01.04.2023","26,96","26,57","28,65","25,94","153,41M","1,41%"
"01.03.2023","26,58","25,08","27,29","23,82","202,95M","6,02%"
"01.02.2023","25,07","27,51","28,01","25,03","126,24M","-9,24%"
"01.01.2023","27,63","26,55","27,80","24,90","146,69M","3,70%"
"01.12.2022","26,64","27,01","27,83","25,15","131,20M","-1,92%"
"01.11.2022","27,17","29,43","30,06","26,19","154,68M","-8,26%"
"01.10.2022","29,61","27,20","29,64","26,62","151,06M","11,64%"
"01.09.2022","26,52","24,01","27,16","23,54","186,07M","11,25%"
"01.08.2022","23,84","24,38","25,64","23,23","173,03M","-2,54%"
"01.07.2022","24,46","22,39","24,54","21,56","130,53M","8,63%"
"01.06.2022","22,52","23,45","24,35","21,70","222,90M","-3,95%"
"01.05.2022","23,45","24,65","24,88","22,58","213,47M","-4,88%"
