"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","0,93","1,02","1,05","0,86","17,82M","-8,82%"
"01.03.2024","1,02","1,08","1,16","0,95","13,05M","-6,42%"
"01.02.2024","1,09","1,07","1,12","0,93","28,56M","1,87%"
"01.01.2024","1,07","1,23","1,24","1,00","37,55M","-12,30%"
"01.12.2023","1,22","1,33","1,37","1,17","34,27M","-8,27%"
"01.11.2023","1,33","1,09","1,47","1,07","34,18M","23,15%"
"01.10.2023","1,08","1,52","1,52","1,03","33,65M","-28,00%"
"01.09.2023","1,50","1,65","1,74","1,49","40,74M","-9,64%"
"01.08.2023","1,66","1,60","1,72","1,39","40,36M","3,11%"
"01.07.2023","1,61","1,83","2,14","1,32","69,09M","-11,54%"
"01.06.2023","1,82","1,42","1,99","1,40","43,72M","28,17%"
"01.05.2023","1,42","1,20","1,57","1,11","50,08M","19,33%"
"01.04.2023","1,19","1,00","1,25","0,94","58,89M","17,82%"
"01.03.2023","1,01","1,33","1,34","0,94","75,20M","-24,06%"
"01.02.2023","1,33","1,46","1,58","1,19","61,60M","-8,28%"
"01.01.2023","1,45","1,33","1,74","1,15","84,47M","9,02%"
"01.12.2022","1,33","1,31","1,44","1,10","92,14M","3,10%"
"01.11.2022","1,29","1,74","1,84","1,28","111,71M","-23,67%"
"01.10.2022","1,69","1,92","2,18","1,61","95,85M","-11,52%"
"01.09.2022","1,91","1,92","2,18","1,71","139,92M","-3,05%"
"01.08.2022","1,97","2,51","3,26","1,97","155,63M","-22,75%"
"01.07.2022","2,55","2,10","3,03","2,06","93,29M","20,85%"
"01.06.2022","2,11","3,16","3,16","2,04","120,27M","-32,37%"
"01.05.2022","3,12","4,21","4,38","3,00","97,14M","-25,36%"
