"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","7,06","7,17","7,68","6,97","148,60K","-2,49%"
"01.03.2024","7,24","6,70","7,55","6,65","302,70K","8,87%"
"01.02.2024","6,65","7,56","7,90","6,64","7,85M","-11,57%"
"01.01.2024","7,52","8,51","8,57","7,28","4,57M","-11,63%"
"01.12.2023","8,51","8,52","9,11","7,78","5,13M","-2,18%"
"01.11.2023","8,70","7,40","9,10","7,28","4,76M","17,57%"
"01.10.2023","7,40","8,08","8,45","7,15","6,18M","-8,30%"
"01.09.2023","8,07","8,90","9,60","7,91","5,06M","-8,81%"
"01.08.2023","8,85","10,75","10,83","8,85","6,81M","-17,44%"
"01.07.2023","10,72","11,09","11,71","10,51","4,14M","-3,25%"
"01.06.2023","11,08","10,84","12,50","10,60","5,84M","1,65%"
"01.05.2023","10,90","9,28","11,52","9,03","6,99M","17,37%"
"01.04.2023","9,29","9,33","9,76","8,29","5,75M","0,00%"
"01.03.2023","9,29","9,54","10,25","8,66","13,39M","-1,47%"
"01.02.2023","9,43","13,87","14,87","9,26","13,57M","-32,77%"
"01.01.2023","14,02","10,59","14,19","10,20","11,49M","32,18%"
"01.12.2022","10,61","9,56","10,89","8,46","18,18M","9,04%"
"01.11.2022","9,73","10,80","11,97","9,41","19,53M","-10,08%"
"01.10.2022","10,82","12,57","13,20","10,43","15,24M","-12,27%"
"01.09.2022","12,33","12,13","13,95","11,51","16,49M","-0,39%"
"01.08.2022","12,38","10,78","13,20","10,33","20,81M","16,31%"
"01.07.2022","10,64","8,84","10,90","8,74","22,22M","21,48%"
"01.06.2022","8,76","12,09","12,11","8,62","24,77M","-27,55%"
"01.05.2022","12,09","12,81","13,07","10,95","23,41M","-6,55%"
