"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2024","15,24","17,50","17,67","14,80","58,70K","-11,65%"
"01.03.2024","17,25","17,22","18,17","16,58","71,50K","-1,09%"
"01.02.2024","17,44","16,20","17,72","15,56","1,27M","7,65%"
"01.01.2024","16,20","15,86","17,98","15,61","1,82M","1,95%"
"01.12.2023","15,89","14,82","15,99","14,06","1,17M","-0,31%"
"01.11.2023","15,94","12,30","16,03","12,23","1,20M","29,59%"
"01.10.2023","12,30","12,67","12,78","12,07","554,60K","-1,60%"
"01.09.2023","12,50","12,47","13,35","12,25","995,00K","0,81%"
"01.08.2023","12,40","12,80","13,32","12,30","756,50K","-4,54%"
"01.07.2023","12,99","11,12","13,09","11,06","803,70K","15,47%"
"01.06.2023","11,25","10,27","11,98","10,15","1,17M","9,76%"
"01.05.2023","10,25","8,78","11,29","8,63","754,20K","18,50%"
"01.04.2023","8,65","9,35","9,60","8,57","533,20K","-8,95%"
"01.03.2023","9,50","10,06","10,45","9,10","560,60K","-5,00%"
"01.02.2023","10,00","10,51","11,10","9,97","897,60K","-6,10%"
"01.01.2023","10,65","7,72","14,07","7,02","3,24M","38,69%"
"01.12.2022","7,68","6,62","7,83","5,74","1,16M","16,03%"
"01.11.2022","6,62","7,18","7,81","6,61","616,10K","-8,06%"
"01.10.2022","7,20","7,02","7,38","6,42","900,50K","2,58%"
"01.09.2022","7,02","7,43","8,15","6,82","621,80K","-6,30%"
"01.08.2022","7,49","7,33","8,56","7,16","910,50K","0,12%"
"01.07.2022","7,48","7,23","7,79","7,08","519,40K","3,64%"
"01.06.2022","7,22","9,19","9,36","7,14","900,50K","-22,64%"
"01.05.2022","9,33","9,17","9,83","7,91","1,00M","10,17%"
